period_end,Revenue,OperatingIncome,Operating_Margin
2008-06-30,4063000000,217000000.0,0.053408811223234064
2008-09-30,4264000000,154000000.0,0.036116322701688554
2009-03-31,4889000000,244000000.0,0.04990795663734915
2009-06-30,4651000000,159000000.0,0.03418619651687809
2009-09-30,5449000000,251000000.0,0.046063497889521014
2009-12-31,9519000000,,
2010-03-31,7131000000,394000000.0,0.055251717851633714
2010-06-30,6566000000,270000000.0,0.04112092598233323
2010-09-30,7560000000,268000000.0,0.035449735449735446
2010-12-31,12948000000,,
2011-03-31,13185000000,322000000.0,0.02442169131588927
2011-06-30,12834000000,201000000.0,0.015661524076671342
2011-09-30,13806000000,79000000.0,0.0057221497899464
2011-12-31,21268000000,,
2012-03-31,13185000000,192000000.0,0.014562002275312855
2012-06-30,12834000000,107000000.0,0.008337229234844944
2012-09-30,13806000000,-28000000.0,-0.0020281037230189774
2012-12-31,21268000000,405000000.0,0.019042693248072222
2013-03-31,16070000000,181000000.0,0.011263223397635346
2013-06-30,15704000000,79000000.0,0.005030565461029037
2013-09-30,17092000000,-25000000.0,-0.0014626725953662532
2013-12-31,25587000000,510000000.0,0.019931996717082893
2014-03-31,19741000000,146000000.0,0.007395775290005572
2014-06-30,19340000000,-15000000.0,-0.0007755946225439503
2014-09-30,20579000000,-544000000.0,-0.026434715000728897
2014-12-31,29328000000,591000000.0,0.02015139116202946
2015-03-31,22717000000,255000000.0,0.011225073733327463
2015-06-30,23185000000,464000000.0,0.020012939400474446
2015-09-30,25358000000,406000000.0,0.016010726397980915
2015-12-31,35747000000,1108000000.0,0.030995608023050885
2016-03-31,29128000000,1071000000.0,0.036768744850315845
2016-06-30,30404000000,1285000000.0,0.042264175766346536
2016-09-30,32714000000,575000000.0,0.017576572721159138
2016-12-31,43741000000,1255000000.0,0.028691616561121146
2017-03-31,35714000000,1005000000.0,0.028140225121800973
2017-06-30,37955000000,628000000.0,0.016545909629824794
2017-09-30,43744000000,347000000.0,0.007932516459400147
2017-12-31,60453000000,2127000000.0,0.03518435809637239
2018-03-31,51042000000,1927000000.0,0.037753222836095765
2018-06-30,52886000000,2983000000.0,0.056404341413606625
