period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin
2008-08-31,9801000000,339000000,7420000000.0,0.03458830731558004
2008-11-30,11500000000,274000000,8639000000.0,0.02382608695652174
2009-05-31,10095000000,296000000,7538000000.0,0.029321446260525012
2009-08-31,11022000000,280000000,8338000000.0,0.02540373797858828
2009-11-30,12024000000,376000000,9082000000.0,0.03127079174983367
2010-02-28,16553000000,1283000000,,0.07750860871141182
2010-05-31,10787000000,348000000,7994000000.0,0.03226105497357931
2010-08-31,11339000000,456000000,8421000000.0,0.04021518652438487
2010-11-30,11890000000,433000000,8907000000.0,0.036417157275021025
2011-02-28,16256000000,1137000000,,0.06994340551181102
2011-04-30,11369000000,460000000,8448000000.0,0.04046090245404169
2011-05-31,10940000000,330000000,8172000000.0,0.03016453382084095
2011-07-31,10856000000,260000000,8094000000.0,0.023949889462048637
2011-08-31,11347000000,384000000,8475000000.0,0.03384154402044593
2011-10-31,11145000000,381000000,8292000000.0,0.034185733512786004
2011-11-30,12099000000,351000000,9155000000.0,0.029010662038184976
2012-03-31,16630000000,1231000000,,0.07402285027059531
2012-05-31,11610000000,264000000,8703000000.0,0.022739018087855296
2012-08-31,10547000000,88000000,7983000000.0,0.008343604816535507
2012-11-30,10753000000,12000000,8167000000.0,0.0011159676369385289
2013-02-28,16711000000,-145000000,,-0.008676919394410867
2013-05-31,9380000000,187000000,7210000000.0,0.01993603411513859
2013-08-31,9300000000,413000000,6831000000.0,0.044408602150537636
2013-11-30,9362000000,100000000,7192000000.0,0.010681478316599017
2014-02-28,14470000000,469000000,,0.032411886662059436
2014-05-31,9035000000,210000000,7015000000.0,0.02324294410625346
2014-08-31,8896000000,238000000,6841000000.0,0.02675359712230216
2014-11-30,9380000000,205000000,7252000000.0,0.02185501066098081
2015-01-31,14209000000,810000000,,0.057006122879864875
2015-05-31,8558000000,86000000,6520000000.0,0.01004907688712316
2015-08-31,8528000000,288000000,6433000000.0,0.03377110694183865
2015-10-31,8819000000,230000000,6708000000.0,0.026080054427939675
2016-01-31,13623000000,771000000,,0.056595463554283194
2016-04-30,8443000000,372000000,6298000000.0,0.04406016818666351
2016-07-31,8533000000,289000000,6471000000.0,0.03386851048869097
2016-10-31,8945000000,312000000,6742000000.0,0.03487982112912241
2017-01-31,13482000000,881000000,,0.06534638777629431
2017-04-30,8528000000,300000000,6506000000.0,0.03517823639774859
2017-07-31,8940000000,321000000,6787000000.0,0.035906040268456375
2017-10-31,9320000000,350000000,7040000000.0,0.03755364806866953
2018-02-28,15363000000,872000000,,0.05675974744516045
2018-05-31,9109000000,265000000,6984000000.0,0.029092106707651774
