period_end,Revenue,OperatingIncome,Operating_Margin
2009-03-31,462058000,,
2009-06-30,603741000,109375000.0,0.18116212084320926
2009-09-30,730660000,200755000.0,0.2747584375769852
2009-12-31,541753000,,
2010-03-31,584394000,87909000.0,0.15042762246018954
2010-06-30,767439000,173159000.0,0.22563226523541285
2010-09-30,1001757000,336769000.0,0.33617833466599184
2010-12-31,731316000,,
2011-03-31,809320000,154059000.0,0.19035610141847478
2011-06-30,1102716000,324708000.0,0.29446203736954935
2011-09-30,1452804000,616378000.0,0.4242678296590593
2011-12-31,990770000,,
2012-03-31,1037247000,241531000.0,0.23285774747962637
2012-06-30,1326759000,458355000.0,0.3454696745980242
2012-09-30,1706310000,755592000.0,0.4428222304270619
2012-12-31,1190640000,,
2013-03-31,1302012000,309839000.0,0.23796938891500233
2013-06-30,1680238000,554831000.0,0.3302097679019282
2013-09-30,2269903000,1046897000.0,0.461207813725961
2013-12-31,1541153000,,
2014-03-31,1641802000,438726000.0,0.2672222350807223
2014-06-30,2123575000,733014000.0,0.3451792378418469
2014-09-30,2836497000,1322705000.0,0.46631637544478277
2014-12-31,1840097000,,
2015-03-31,1840694000,433969000.0,0.23576379343877907
2015-06-30,2280397000,678331000.0,0.2974618016073517
2015-09-30,3102901000,1488707000.0,0.47977908415382897
2015-12-31,1999995000,,
2016-03-31,2148119000,550318000.0,0.25618599342029
2016-06-30,2555902000,732407000.0,0.2865551965607445
2016-09-30,3690552000,833227000.0,0.22577300089525904
2016-12-31,2348433000,,
2017-03-31,2419404000,556462000.0,0.2299996197410602
2017-06-30,3024556000,893259000.0,0.29533557983386655
2017-09-30,4434029000,2101801000.0,0.4740160698091961
2017-12-31,2803093000,,
2018-03-31,2928201000,730235000.0,0.2493800801242811
