period_end,Revenue,OperatingIncome,Operating_Margin
2016-03-31,200789000,91031000,0.45336646927869556
2016-06-30,217528000,103136000,0.4741274686477143
2016-09-30,212067000,71904000,0.33906265472704383
2017-03-31,607165000,52190000,0.08595686510256685
2017-06-30,679372000,105192000,0.1548371142761256
2017-09-30,789853000,72589000,0.09190191086189456
2018-03-31,666664000,-26299000,-0.03944865779463118
2018-06-30,689599000,-41848000,-0.06068454275600748
2018-09-30,674769000,-13946000,-0.020667813725882486
2019-03-31,632903000,-30155000,-0.0476455317797514
2019-06-30,573439000,-484646000,-0.8451570262922473
2019-09-30,652495000,-565842000,-0.8671974497888872
2020-03-31,507513000,-404057000,-0.7961510345547799
2020-06-30,372366000,-2718993000,-1.0
2020-09-30,316677000,-361230000,-1.0
2021-03-31,315704000,-627599000,-1.0
2021-06-30,237187000,-95083000,-0.40087778841167515
2021-09-30,252174000,-51364000,-0.20368475735008368
2022-03-31,257459000,-343684000,-1.0
2022-06-30,416632000,-68081000,-0.16340799554522936
2022-09-30,429852000,-120987000,-0.28146199156919127
2023-03-31,250160000,-292344000,-1.0
2023-06-30,424933000,-52516000,-0.1235865418783667
2023-09-30,477080000,278777000,0.5843401525949526
2023-12-31,350310000,111248000,0.317570152150952
2024-03-31,74393000,-30766000,-0.4135604156305029
2024-06-30,390336000,129928000,0.3328619445810789
2024-09-30,76125000,48332000,0.6349031198686371
2025-03-31,45447000,-14855000,-0.32686425946707154
2025-06-30,-3207000,-25684000,1.0
2025-09-30,3818000,-12804000,-1.0
