period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin
2017-04-30,2397000000,4000000,,0.001668752607425949
2017-07-31,2577000000,84000000,,0.03259604190919674
2017-10-31,2701000000,155000000,,0.05738615327656423
2018-01-31,2865000000,211000000,,0.07364746945898779
2018-04-30,3006000000,191000000,,0.0635395874916833
2018-07-31,3281000000,115000000,,0.03505028954587016
2018-10-31,3392000000,92000000,,0.027122641509433963
2019-01-31,3603000000,137000000,,0.038023868998057174
2019-04-30,3737000000,210000000,,0.0561948086700562
2019-07-31,3997000000,58000000,,0.01451088316237178
2019-10-31,4513000000,65000000,,0.014402836250830933
2020-01-31,4851000000,-36000000,,-0.0074211502782931356
2020-04-30,4865000000,-140000000,,-0.02877697841726619
2020-07-31,5151000000,178000000,,0.034556396816152204
2020-10-31,5419000000,224000000,,0.04133603985975272
2021-04-30,5963000000,354000000,,0.05936609089384538
2021-07-31,6340000000,332000000,,0.05236593059936909
2021-10-31,6863000000,38000000,,0.005536937199475448
2022-04-30,7411000000,20000000,,0.002698691134799622
2022-07-31,7720000000,193000000,,0.025
2022-10-31,7837000000,460000000,,0.05869592956488452
2023-04-30,8247000000,412000000,,0.049957560324966656
2023-07-31,8603000000,1476000000,,0.17156805765430663
2023-10-31,8720000000,1501000000,,0.17213302752293577
2024-04-30,9133000000,1709000000,,0.1871236176502792
2024-07-31,9325000000,1783000000,,0.1912064343163539
2024-10-31,9444000000,1893000000,,0.20044472681067343
2025-04-30,9829000000,1942000000,,0.19757859395665886
2025-07-31,10236000000,2332000000,,0.2278233685033216
2025-10-31,10259000000,2188000000,,0.21327614777268739
