period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin
2010-06-30,76331000,9780000,11822000,0.12812618726336614
2010-09-30,84971000,18159000,13263000,0.2137082063292182
2011-03-31,93266000,17445000,14075000,0.1870456543649347
2011-06-30,103023000,18779000,16591000,0.18227968511885695
2011-09-30,116426000,26160000,20606000,0.22469207908886332
2012-03-31,117247000,18715000,19067000,0.15962028879203732
2012-06-30,128962000,20950000,23935000,0.16245095454474962
2012-09-30,136268000,25770000,23995000,0.18911263099186895
2013-03-31,135820000,15391000,22958000,0.11331909880724489
2013-06-30,147428000,13777000,26948000,0.09344900561630083
2013-09-30,154699000,18279000,27126000,0.1181584884194468
2014-03-31,168949000,12815000,32139000,0.07585129240184908
2014-06-30,184098000,11142000,37455000,0.06052211322230551
2014-09-30,193348000,15451000,35636000,0.0799129031590707
2015-03-31,212886000,898000,41368000,0.0042182200802307335
2015-06-30,239785000,2952000,47397000,0.01231102862981421
2015-09-30,260068000,-1840000,46167000,-0.007075072673300829
2016-03-31,284576000,-3692000,49359000,-0.012973687169684021
2016-06-30,311391000,-4045000,52788000,-0.012990099264269039
2016-09-30,316646000,5488000,50267000,0.017331657434485198
2017-03-31,340600000,5410000,55300000,0.015883734586024663
2017-06-30,363500000,28500000,60800000,0.07840440165061899
2017-09-30,374217000,33700000,58106000,0.09005470088210851
2018-03-31,399000000,32400000,58200000,0.081203007518797
2018-06-30,441300000,50700000,73900000,0.11488783140720599
2018-09-30,453900000,62800000,72000000,0.13835646618197842
