period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin
2009-05-31,16175000000,980000000.0,10725000000.0,0.060587326120556416
2009-08-31,19071000000,1833000000.0,12683000000.0,0.09611451942740286
2009-11-30,16361000000,1263000000.0,10800000000.0,0.07719577042968034
2010-01-31,14569000000,,,
2010-05-31,16863000000,1305000000.0,11069000000.0,0.07738836505959794
2010-08-31,19410000000,2049000000.0,12828000000.0,0.10556414219474498
2010-10-31,16598000000,1448000000.0,10913000000.0,0.0872394264369201
2011-01-31,15126000000,,,
2011-05-31,16823000000,1422000000.0,10995000000.0,0.08452713546929798
2011-07-31,20232000000,2294000000.0,13356000000.0,0.11338473705021748
2011-10-31,17326000000,1615000000.0,11365000000.0,0.09321251298626342
2012-01-31,16014000000,,,
2012-04-30,17808000000,1714000000.0,11625000000.0,0.09624887690925427
2012-07-31,20570000000,2569000000.0,13544000000.0,0.12489061740398638
2012-10-31,18130000000,1733000000.0,11863000000.0,0.09558742415885273
2013-02-28,18246000000,,,
2013-05-31,19124000000,2094000000.0,12445000000.0,0.10949592135536498
2013-08-31,22522000000,3018000000.0,14801000000.0,0.1340023088535654
2013-11-30,19470000000,2293000000.0,12672000000.0,0.11777092963533642
2014-02-28,17696000000,,,
2014-05-31,19687000000,2277000000.0,12930000000.0,0.1156600802560065
2014-08-31,23811000000,3448000000.0,15804000000.0,0.14480702196463818
2014-11-30,20516000000,2553000000.0,13473000000.0,0.12443946188340807
2015-02-28,19162000000,,,
2015-05-31,20891000000,2597000000.0,13712000000.0,0.12431190464793451
2015-08-31,24829000000,3647000000.0,16464000000.0,0.14688469128841275
2015-11-30,21819000000,2981000000.0,14254000000.0,0.13662404326504424
2016-01-31,20980000000,,,
2016-05-31,22762000000,3077000000.0,14971000000.0,0.13518144275546964
2016-07-31,26472000000,4103000000.0,17545000000.0,0.15499395587790873
2016-10-31,23154000000,3320000000.0,15112000000.0,0.1433877515764015
2017-01-31,22207000000,,,
2017-04-30,23887000000,3349000000.0,15733000000.0,0.14020178339682673
2017-07-31,28108000000,4463000000.0,18647000000.0,0.15878041838622456
2017-10-31,25026000000,3680000000.0,16378000000.0,0.14704707104611203
2018-01-31,23883000000,,,
2018-04-30,24947000000,3381000000.0,16330000000.0,0.13552731791397762
2018-07-31,30463000000,4901000000.0,20098000000.0,0.16088369497423102
