period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin
2018-03-31,397188000,-245379000,260609000,-0.6177905676908668
2018-06-30,504912000,-193634000,293186000,-0.38350049117469975
2018-09-30,584951000,-268675000,322614000,-0.4593119765587203
2019-03-31,776027000,-1156890000,462857000,-1.0
2019-06-30,867265000,-672916000,630136000,-0.7759058649893631
2019-09-30,955598000,-490860000,580714000,-0.5136678812638787
2020-03-31,918331000,-414105000,542419000,-0.4509321802269552
2020-06-30,312348000,-487497000,251355000,-1.0
2020-09-30,450559000,-453353000,261614000,-1.0
2021-03-31,568790000,-416442000,412039000,-0.7321542221206421
2021-06-30,696898000,-240118000,346890000,-0.3445525744083065
2021-09-30,784068000,-176861000,392207000,-0.2255684455940046
2022-03-31,818099000,-199343000,440294000,-0.24366610886946447
2022-06-30,914547000,-373175000,650356000,-0.40804354505563956
2022-09-30,966048000,-290376000,570703000,-0.3005813375732883
2023-03-31,952697000,-216755000,548992000,-0.2275172484011181
2023-06-30,940958000,-158519000,606599000,-0.16846554256406768
2023-09-30,1069939000,-40179000,644500000,-0.037552608139342525
2024-03-31,1209737000,-62951000,755362000,-0.0520369303410576
2024-06-30,1321830000,-27226000,819518000,-0.02059720236339015
2024-09-30,1387825000,-56687000,888255000,-0.04084592798083332
2025-03-31,1374189000,-28849000,862874000,-0.020993473241308146
2025-06-30,1477121000,2430000,935734000,0.0016450920405301935
2025-09-30,1546435000,23053000,927221000,0.014907189762259649
