period_end,Revenue,OperatingIncome,Operating_Margin
2014-03-31,2172000000,1285000000,0.5916206261510129
2014-06-30,2368000000,1383000000,0.5840371621621622
2014-09-30,2490000000,1420000000,0.570281124497992
2014-12-31,2411000000,1018000000,0.4222314392368312
2015-03-31,2230000000,1351000000,0.6058295964125561
2015-06-30,2390000000,1251000000,0.5234309623430963
2015-09-30,2530000000,1369000000,0.5411067193675889
2015-12-31,2517000000,1107000000,0.4398092967818832
2016-03-31,2446000000,1348000000,0.5511038430089943
2016-06-30,2694000000,1380000000,0.512249443207127
2016-09-30,2880000000,1670000000,0.5798611111111112
2016-12-31,2756000000,1363000000,0.49455732946298986
2017-03-31,2734000000,1506000000,0.5508412582297001
2017-06-30,3053000000,1653000000,0.5414346544382574
2017-09-30,3398000000,1941000000,0.5712183637433784
2017-12-31,3312000000,1522000000,0.45954106280193235
2018-03-31,3580000000,1825000000,0.5097765363128491
2018-06-30,3665000000,1936000000,0.5282401091405184
