period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin
2008-06-30,337614000,34201000.0,230087000.0,0.10130207870526696
2008-09-30,341269000,34074000.0,224496000.0,0.09984499031555752
2009-03-31,394098000,36471000.0,259268000.0,0.09254297154514866
2009-06-30,408509000,52782000.0,269243000.0,0.12920645567172326
2009-09-30,423120000,49337000.0,275274000.0,0.11660285498203819
2010-03-31,493665000,58345000.0,307162000.0,0.11818743479890209
2010-06-30,519819000,77342000.0,314934000.0,0.1487864044984889
2010-09-30,553219000,69501000.0,344469000.0,0.12563017539166224
2010-12-31,595922000,,,
2011-03-31,718553000,102240000.0,438151000.0,0.14228595524616833
2011-06-30,788610000,115114000.0,489978000.0,0.14597075867665893
2011-09-30,821839000,96842000.0,536617000.0,0.11783573181608563
2011-12-31,875575000,61872000.0,575155000.0,0.07066442052365589
2012-03-31,869791000,-1935000.0,623933000.0,-0.002224672363820734
2012-06-30,889163000,16154000.0,643428000.0,0.018167647551686247
2012-09-30,905089000,16135000.0,662638000.0,0.017826976131629046
2012-12-31,945239000,,,
2013-03-31,1023961000,31822000.0,736952000.0,0.031077355485218675
2013-06-30,1069372000,57117000.0,760674000.0,0.053411722020026704
2013-09-30,1105999000,57120000.0,798900000.0,0.05164561631610878
2013-12-31,1175230000,,,
2014-03-31,1270089000,97595000.0,869186000.0,0.07684107176741158
2014-06-30,1340407000,129600000.0,914848000.0,0.09668705102256255
2014-09-30,1409432000,110407000.0,954394000.0,0.07833439286180532
2014-12-31,1484728000,,,
2015-03-31,1573129000,97456000.0,1046401000.0,0.06195041856071562
2015-06-30,1644694000,74835000.0,1121752000.0,0.0455008652065369
2015-09-30,1738355000,73641000.0,1173958000.0,0.042362463363352136
2015-12-31,1823333000,,,
2016-03-31,1957736000,49453000.0,1418581000.0,0.025260300673839577
2016-06-30,2105204000,70370000.0,1525397000.0,0.03342668928996905
2016-09-30,2290188000,106036000.0,1593768000.0,0.046300129072373096
2016-12-31,2477541000,153934000.0,1719716000.0,0.06213176694149562
2017-03-31,2636635000,256942000.0,1740731000.0,0.09745072791645412
2017-06-30,2785464000,127807000.0,1991696000.0,0.0458835583586792
2017-09-30,2984859000,208627000.0,2086239000.0,0.06989509387210585
2017-12-31,3285755000,245303000.0,2214334000.0,0.07465650969107557
2018-03-31,3700856000,446578000.0,2300579000.0,0.12066883985758971
2018-06-30,3907270000,462213000.0,2402431000.0,0.11829563864283758
2018-09-30,3999374000,480668000.0,2531128000.0,0.12018580907912088
2018-12-31,4186841000,,,
2019-03-31,4520992000,459084000.0,2870614000.0,0.10154497066130619
2019-06-30,4923116000,706419000.0,3005657000.0,0.1434902204213754
2019-09-30,5244905000,980239000.0,3097919000.0,0.1868935662323722
2019-12-31,5467434000,,,
2020-03-31,5767691000,958256000.0,3599701000.0,0.16614204887189693
2020-06-30,6148286000,1357928000.0,3643707000.0,0.22086285511116432
2020-09-30,6435637000,1314863000.0,3867751000.0,0.20430968993434528
2020-12-31,6644442000,,,
2021-03-31,7163282000,1959856000.0,3868511000.0,0.2735974934394597
2021-06-30,7341777000,1847630000.0,4018008000.0,0.25165978209362666
2021-09-30,7483467000,1755253000.0,4206589000.0,0.2345507770662983
2022-03-31,7867767000,1971626000.0,4284705000.0,0.250595372232045
2022-06-30,7970141000,1578283000.0,4690755000.0,0.19802447660587183
2022-09-30,7925589000,1533018000.0,4788665000.0,0.19342638130743342
2023-03-31,8161503000,1714317000.0,4803625000.0,0.21004917844176496
2023-06-30,8187301000,1827183000.0,4673470000.0,0.22317281360487418
2023-09-30,8541668000,1916394000.0,4930788000.0,0.22435828692943813
2024-03-31,9370440000,2632534000.0,4977073000.0,0.2809402760169213
2024-06-30,9559310000,2602837000.0,5174143000.0,0.27228293673915793
2024-09-30,9824703000,2909477000.0,5119884000.0,0.2961389265405784
2025-03-31,10542801000,3346999000.0,5263147000.0,0.31746772039043514
2025-06-30,11079166000,3774694000.0,5325311000.0,0.34070199868834894
2025-09-30,11510307000,3248247000.0,6164250000.0,0.28220333306487827
