period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin
2011-06-30,29485000,2269000,9487000,0.07695438358487366
2011-09-30,34197000,1019000,11932000,0.029797935491417377
2012-03-31,47431000,-5582000,21236000,-0.11768674495583058
2012-06-30,56774000,-9117000,22891000,-0.1605840701729665
2012-09-30,64345000,-13347000,27574000,-0.2074287046390551
2013-03-31,85939000,-12913000,32308000,-0.15025774095579422
2013-06-30,102222000,-19343000,35998000,-0.18922541135958992
2013-09-30,111259000,-14650000,41575000,-0.1316747409198357
2014-03-31,139090000,-36181000,53114000,-0.26012653677475017
2014-06-30,166757000,-44471000,58938000,-0.266681458649412
2014-09-30,178712000,-34499000,66086000,-0.19304243699359863
2015-03-31,211964000,-54232000,76899000,-0.25585476779075694
2015-06-30,246716000,-53235000,79717000,-0.21577441268503056
2015-09-30,261150000,-28040000,81888000,-0.1073712425808922
2016-03-31,305879000,-324152000,94260000,-1.0
2016-06-30,341312000,-48278000,96649000,-0.1414482936433527
2016-09-30,357656000,-26775000,102837000,-0.07486243764958507
2017-03-31,428771000,-21792000,116447000,-0.05082433280235837
2017-06-30,471703000,-37794000,122128000,-0.0801224499314187
2017-09-30,498170000,-3910000,127486000,-0.007848726338398539
2018-03-31,589222000,-20283000,143473000,-0.0344233582588566
2018-06-30,631056000,-31989000,153165000,-0.050691222332090974
