period_end,Revenue,OperatingIncome,Operating_Margin
2017-10-31,66911000,-34515000,-0.5158344666796192
2018-04-30,83621000,-24978000,-0.2987048707860466
2018-07-31,94586000,-38430000,-0.40629691497684645
2018-10-31,105576000,-28479000,-0.2697488065469425
2019-04-30,125223000,-51782000,-0.41351828338244573
2019-07-31,140480000,-43617000,-0.31048547835990886
2019-10-31,153037000,-45730000,-0.298816626044682
2020-04-30,182859000,-52199000,-0.2854603820429949
2020-07-31,200446000,-45388000,-0.22643504983885934
2020-10-31,217379000,-51976000,-0.23910313323734123
2021-04-30,251006000,-90681000,-0.3612702485199557
2021-07-31,315500000,-263440000,-0.8349920760697306
2021-10-31,350680000,-198556000,-0.566202805976959
2022-04-30,415000000,-239689000,-0.5775638554216868
2022-07-31,452000000,-208000000,-0.46017699115044247
2022-10-31,481042000,-206599000,-0.42948224895123505
2023-04-30,518000000,-160000000,-0.3088803088803089
2023-07-31,556000000,-162000000,-0.29136690647482016
2023-10-31,584000000,-111000000,-0.19006849315068494
2024-04-30,617000000,-47000000,-0.07617504051863858
2024-07-31,646000000,-19000000,-0.029411764705882353
2024-10-31,665000000,-16000000,-0.02406015037593985
2025-04-30,688000000,39000000,0.056686046511627904
2025-07-31,728000000,41000000,0.05631868131868132
2025-10-31,742000000,23000000,0.03099730458221024
