period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin
2011-10-31,57113000,6900000,10310000,0.12081312485773817
2012-01-31,56683000,1276000,10248000,0.022511158548418397
2012-04-30,65700000,-41000,11524000,-0.0006240487062404871
2012-07-31,75642000,-4244000,12533000,-0.056106395917611906
2012-10-31,85934000,-3131000,14416000,-0.03643493844112924
2013-01-31,96499000,-2157000,16636000,-0.022352563238997297
2013-04-30,101289000,-6450000,15855000,-0.06367917542872376
2013-07-31,112385000,-6883000,16505000,-0.06124482804644748
2013-10-31,128180000,-7011000,17954000,-0.054696520518021534
2014-01-31,141068000,-37156000,20221000,-0.2633907051918224
2014-04-30,150700000,-145732000,20425000,-0.9670338420703384
2014-07-31,178231000,-25448000,26903000,-0.14278099769400385
2014-10-31,192346000,-23763000,29141000,-0.12354299023634492
2015-01-31,217700000,-38500000,30700000,-0.17684887459807075
2015-04-30,234200000,-36700000,32851000,-0.15670367207514946
2015-07-31,283900000,-34500000,38500000,-0.12152166255723847
2015-10-31,297200000,-30800000,38800000,-0.10363391655450875
2016-01-31,334700000,-50100000,44900000,-0.14968628622647145
2016-04-30,345800000,-52500000,43200000,-0.15182186234817813
2016-07-31,400800000,-22700000,48500000,-0.056636726546906185
2016-10-31,398100000,-49000000,42200000,-0.12308465209746294
2017-01-31,422600000,-54400000,45800000,-0.12872692853762424
2017-04-30,431800000,-49100000,49700000,-0.11371005094951367
2017-07-31,509100000,-27300000,63700000,-0.05362404242781379
2017-10-31,505500000,-53500000,57600000,-0.10583580613254204
2018-01-31,542400000,-22500000,63900000,-0.041482300884955754
2018-04-30,567100000,-45300000,68900000,-0.07988009169458649
2018-07-31,658100000,17100000,82000000,0.025983893025376084
