period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin
2020-03-31,229327000,-70185000,64294000,-0.3060476960846302
2020-06-30,251889000,-99145000,68410000,-0.3936059137159622
2020-09-30,289366000,-847777000,149340000,-1.0
2021-03-31,341234000,-114014000,74111000,-0.3341226255296952
2021-06-30,375642000,-146148000,90926000,-0.3890619259827176
2021-09-30,392146000,-91941000,86804000,-0.2344560444324308
2022-03-31,446357000,-39439000,94403000,-0.08835752547848472
2022-06-30,473010000,-41745000,102224000,-0.08825394811949007
2022-09-30,477880000,-62191000,107611000,-0.13013936553109567
2023-03-31,525186000,4115000,107645000,0.007835319296401655
2023-06-30,533317000,10074000,106899000,0.018889328485684875
2023-09-30,558159000,39983000,107922000,0.07163371010769333
2024-03-31,634338000,80881000,116256000,0.12750457957744923
2024-06-30,678134000,105339000,128562000,0.15533655590193088
2024-09-30,725516000,113140000,146639000,0.1559441831744579
2025-03-31,883855000,176048000,172970000,0.19918199252139773
2025-06-30,1003697000,269317000,192934000,0.26832500246588364
2025-09-30,1181092000,393256000,207307000,0.3329596678328191
