period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin
2021-03-31,386976000,-135056000,97937000.0,-0.3490035557760688
2021-06-30,454100000,-142946000,116930000.0,-0.31478969390002204
2021-09-30,509336000,-77446000,130015000.0,-0.15205286883314748
2022-03-31,537134000,-151611000,,-0.28225917555023516
2022-06-30,591207000,-170267000,,-0.2879989580637577
2022-09-30,517707000,-300007000,,-0.5794918747476855
2023-03-31,655344000,-289847000,,-0.4422822212456359
2023-06-30,680766000,-313989000,,-0.4612289685442575
2023-09-30,713225000,-300038000,,-0.4206779066914368
2024-03-31,801300000,-302328000,,-0.3772968925496069
2024-06-30,893543000,-237949000,,-0.26629832028229194
2024-09-30,918953000,-278928000,,-0.3035280367983999
2025-03-31,1035207000,-254709000,,-0.24604644288533598
2025-06-30,1080677000,-322460000,,-0.2983870296119932
2025-09-30,1359646000,-296535000,,-0.21809721059746434
