period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin
2020-06-30,19050000,,41408000.0,
2020-09-30,39006000,,51821000.0,
2021-03-31,54227000,-5289511.0,,-0.09754386191380678
2021-06-30,61452000,,60624000.0,
2021-09-30,61188000,,69591000.0,
2022-03-31,77022000,,70437000.0,
2022-06-30,98420000,,79091000.0,
2022-09-30,102004000,,83083000.0,
2023-03-31,95482000,,83908000.0,
2023-06-30,104693000,,93885000.0,
2023-09-30,104944000,,98258000.0,
2024-03-31,115609000,,100061000.0,
2024-06-30,120782000,,109703000.0,
2024-09-30,131225000,,123714000.0,
2025-03-31,140382000,,135520000.0,
2025-06-30,151890000,,150437000.0,
2025-09-30,156791000,,161423000.0,
