period_end,Revenue,OperatingIncome,Operating_Margin
2014-05-31,6491176000,803563000.0,0.12379313085949295
2014-08-31,6917212000,930887000.0,0.13457546190575045
2014-11-30,7366066000,1049644000.0,0.14249722986462515
2015-01-31,8303953000,,
2015-05-31,6865637000,845129000.0,0.12309549718401949
2015-08-31,7363731000,998236000.0,0.13556117136815563
2015-10-31,7753495000,1041335000.0,0.13430523912119632
2016-01-31,8962075000,,
2016-04-30,7542356000,918886000.0,0.12183010189389099
2016-07-31,7882053000,1035194000.0,0.1313355797023948
2016-10-31,8291688000,1083143000.0,0.13062997546458574
2017-01-31,9467647000,,
2017-04-30,7784024000,948997000.0,0.12191599100927747
2017-07-31,8357700000,1010422000.0,0.12089713677207845
2017-10-31,8762220000,1123465000.0,0.12821693589067612
2018-02-28,10960720000,,
2018-05-31,8688720000,1063826000.0,0.12243759725252971
