period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin,price_at_period_end,shares_outstanding,market_cap,KBrand,Opex_Ratio,Selected_Margin,Benchmark_Margin,s_baseline_value,S_Surplus,s_total,V_Prod_base,K_Pi_prime,E_star,E_0,E_1,E_2,E_3,K_Pi_prime_lag,R_t,T_t,dK_Pi_prime,dK_Pi_prime_pct,PDI_t,PGR_t,Gate_C1,Gate_C2,Gate_C3,Speculative_Regime,Ticker,Raw_Configuration,Configuration,Regime,Phase
2017-04-30,5287100000,388800000.0,3660000000.0,0.073537478012521,82.7699966430664,236560992.0,19580152513.72,555145500.0,0,0.073537478012521,,388799999.99999976,0.0,388799999.99999976,4898300000.0,13737907013.72,2.9973363235653188,0.0793744768593184,0.0,0.1133343200702284,2.804627526635772,,0.0,inf,,,0.0,,True,True,False,False,DLTR,N/A,Normal,Normal_Regime,Normal_Production
2017-07-31,5281200000,419500000.0,3653400000.0,0.0794327046883284,72.08000183105469,236688992.0,17060542976.75,554526000.0,0,0.0794327046883284,,419500000.0,0.0,419500000.0,4861700000.0,11224816976.75,2.5091723012012257,0.0862866898410021,0.0,0.1140601024333052,2.3088255089269185,13737907013.72,0.0305359469663789,32.74828847132301,-2513090036.970001,-0.1829310705379055,0.1430476113986372,-0.0074719800747198,True,True,True,True,DLTR,C4,C4,Speculative_Regime,Partial_Absorption
2017-10-31,5316600000,425200000.0,3650600000.0,0.0799759244630026,91.25,236844992.0,21612105520.0,558243000.0,0,0.0799759244630026,,425199999.9999997,0.0,425199999.9999997,4891400000.0,15737262520.0,3.418388502269289,0.0869280778509219,0.0,0.1141274481743468,3.21733297624402,11224816976.75,0.0378803503772683,26.398911045978387,4512445543.25,0.4020061576591087,0.0861139173064515,0.0061089742271223,True,True,True,True,DLTR,C3,C3,Speculative_Regime,Accumulation_Phase
2018-02-28,6360600000,765600000.0,,0.1203660032072446,102.63999938964844,,,667863000.0,0,0.1203660032072446,,765600000.0,0.0,765600000.0,5595000000.0,,,0.1368364611260053,0.0,0.1193678284182305,,15737262520.0,0.0486488675541265,20.555463061650997,,,0.0,0.1438442981559471,False,False,True,False,DLTR,N/A,Normal,Normal_Regime,Normal_Production
2018-05-31,5553700000,437600000.0,3854100000.0,0.0787943173019788,82.58999633789062,,,583138500.0,0,0.0787943173019788,,437599999.9999997,0.0,437599999.9999997,5116100000.0,,,0.0855339027775062,0.0,0.1139810597916381,,,0.0,inf,,,0.0,-0.0855942806076854,False,False,False,False,DLTR,N/A,Normal,Normal_Regime,Normal_Production
2018-08-31,5525600000,382500000.0,3861700000.0,0.069223251773563,80.51000213623047,,,580188000.0,0,0.069223251773563,,382499999.99999976,0.0,382499999.99999976,5143100000.0,,,0.074371488013066,0.0,0.1128090062413719,,,0.0,inf,,,0.0,0.005277457438283,False,False,False,False,DLTR,N/A,Normal,Normal_Regime,Normal_Production
2018-11-30,5538800000,387800000.0,,0.0700151657398714,86.7699966430664,237888000.0,20641540961.43,581574000.0,0,0.0700151657398714,,387799999.99999976,0.0,387799999.99999976,5151000000.0,14521166961.43,3.0072880919103087,0.0752863521646281,0.0,0.1129050669772859,2.8190966727683944,,0.0,inf,,,0.0,0.0015360385759561,True,True,False,False,DLTR,N/A,Normal,Normal_Regime,Normal_Production
2019-02-28,6205200000,-2147400000.0,,-0.3460645909882034,96.33000183105467,237970000.0,22923650535.74,651546000.0,0,-0.3460645909882034,,0.0,0.0,0.0,6205200000.0,16066904535.740002,2.6942645741861666,0.0,0.0,0.105,2.589264574186166,14521166961.43,0.0,inf,1545737574.3100014,0.1064472007253735,0.0,0.2046592894583576,True,True,True,True,DLTR,C2,C2,Speculative_Regime,Accumulation_Phase
2019-05-31,5808700000,385500000.0,,0.0663659682889458,101.58999633789062,238522000.0,24231449106.51,609913500.0,0,0.0663659682889458,,385499999.99999946,0.0,385499999.99999946,5423200000.000001,17812835606.51,3.468109069647071,0.0710834931405811,0.0,0.112463766779761,3.284561809726729,16066904535.740002,0.02399342070792,41.67809218090797,1745931070.7699966,0.1086663001504902,0.180864399176059,-0.1260233352671951,True,True,True,True,DLTR,C3,C3,Speculative_Regime,Accumulation_Phase
2019-08-31,5740600000,268900000.0,,0.0468417935407448,101.52999877929688,242274000.0,24598078924.26,602763000.0,0,0.0468417935407448,,268899999.99999964,0.0,268899999.99999964,5471700000.0,18254715924.26,3.49550942563737,0.0491437761573185,0.0,0.1101600964965184,3.3362055529835333,17812835606.51,0.0150958559288407,66.24334550580149,441880317.75,0.0248068486967065,0.3783166096258998,0.0089430594482959,True,True,True,True,DLTR,C3,C3,Speculative_Regime,Accumulation_Phase
