period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin,price_at_period_end,shares_outstanding,market_cap,KBrand,Opex_Ratio,Selected_Margin,Benchmark_Margin,s_baseline_value,S_Surplus,s_total,V_Prod_base,K_Pi_prime,E_star,E_0,E_1,E_2,E_3,K_Pi_prime_lag,R_t,T_t,dK_Pi_prime,dK_Pi_prime_pct,PDI_t,PGR_t,Gate_C1,Gate_C2,Gate_C3,Speculative_Regime,Ticker,Raw_Configuration,Configuration,Regime,Phase
2009-05-31,16175000000,980000000.0,10725000000.0,0.0605873261205564,15.306256294250488,,,1698375000.0,0,0.0605873261205564,,979999999.9999998,0.0,979999999.9999998,15195000000.0,,,0.0644948996380388,0.0,0.111771964461994,,,0.0,inf,,,0.0,,False,False,False,False,HD,N/A,Normal,Normal_Regime,Normal_Production
2009-08-31,19071000000,1833000000.0,12683000000.0,0.0961145194274028,18.202491760253903,,,2002455000.0,0,0.0961145194274028,,1832999999.9999988,0.0,1832999999.9999988,17238000000.0,,,0.1063348416289592,0.0,0.1161651583710407,,,0.0,inf,,,0.0,0.1344521224086869,False,False,False,False,HD,N/A,Normal,Normal_Regime,Normal_Production
2009-11-30,16361000000,1263000000.0,10800000000.0,0.0771957704296803,18.400897979736328,,,1717905000.0,0,0.0771957704296803,,1262999999.9999995,0.0,1262999999.9999995,15098000000.0,,,0.0836534640349715,0.0,0.113783613723672,,,0.0,inf,,,0.0,-0.1241443322891286,False,False,False,False,HD,N/A,Normal,Normal_Regime,Normal_Production
2010-01-31,14569000000,,,,18.99425506591797,,,1529745000.0,0,,,,0.0,,,,,,,,,,0.0,inf,,,0.0,,False,False,False,False,HD,N/A,Normal,Normal_Regime,Normal_Production
2010-05-31,16863000000,1305000000.0,11069000000.0,0.0773883650595979,23.132089614868164,,,1770615000.0,0,0.0773883650595979,,1304999999.9999993,0.0,1304999999.9999993,15558000000.0,,,0.0838796760509062,0.0,0.1138073659853451,,,0.0,inf,,,0.0,,False,False,False,False,HD,N/A,Normal,Normal_Regime,Normal_Production
2010-08-31,19410000000,2049000000.0,12828000000.0,0.1055641421947449,19.301891326904297,,,2038050000.0,0,0.1055641421947449,,2048999999.9999983,0.0,2048999999.9999983,17361000000.000004,,,0.1180231553481941,0.0,0.1173924313115603,,,0.0,inf,,,0.0,0.1158889317392983,False,False,False,False,HD,N/A,Normal,Normal_Regime,Normal_Production
2010-10-31,16598000000,1448000000.0,10913000000.0,0.0872394264369201,21.43884658813477,,,1742790000.0,0,0.0872394264369201,,1448000000.0,0.0,1448000000.0,15150000000.0,,,0.0955775577557755,0.0,0.1150356435643564,,,0.0,inf,,,0.0,-0.1273544150682566,False,False,False,False,HD,N/A,Normal,Normal_Regime,Normal_Production
2011-01-31,15126000000,,,,25.709226608276367,,,1588230000.0,0,,,,0.0,,,,,,,,,,0.0,inf,,,0.0,,False,False,False,False,HD,N/A,Normal,Normal_Regime,Normal_Production
2011-05-31,16823000000,1422000000.0,10995000000.0,0.0845271354692979,25.5397891998291,,,1766415000.0,0,0.0845271354692979,,1421999999.9999986,0.0,1421999999.9999986,15401000000.000002,,,0.0923316667748846,0.0,0.1146948250113628,,,0.0,inf,,,0.0,,False,False,False,False,HD,N/A,Normal,Normal_Regime,Normal_Production
2011-07-31,20232000000,2294000000.0,13356000000.0,0.1133847370502174,24.77427101135254,,,2124360000.0,0,0.1133847370502174,,2293999999.9999986,0.0,2293999999.9999986,17938000000.0,,,0.1278849370052402,0.0,0.1184279183855502,,,0.0,inf,,,0.0,0.1647295630153884,False,False,False,False,HD,N/A,Normal,Normal_Regime,Normal_Production
