period_end,Revenue,OperatingIncome,Operating_Margin,price_at_period_end,shares_outstanding,market_cap,KBrand,Opex_Ratio,Selected_Margin,Benchmark_Margin,s_baseline_value,S_Surplus,s_total,V_Prod_base,K_Pi_prime,E_star,E_0,E_1,E_2,E_3,K_Pi_prime_lag,R_t,T_t,dK_Pi_prime,dK_Pi_prime_pct,PDI_t,PGR_t,Gate_C1,Gate_C2,Gate_C3,Speculative_Regime,Ticker,Raw_Configuration,Configuration,Regime,Phase
2008-08-31,5718000000,259000000.0,0.0452955578873732,11.460718154907228,,,600390000.0,0,0.0452955578873732,,259000000.0,0.0,259000000.0,5459000000.0,,,0.0474445869206814,0.0,0.1099816816266715,,,0.0,inf,,,0.0,,False,False,False,False,M,N/A,Normal,Normal_Regime,Normal_Production
2008-11-30,5493000000,68000000.0,0.0123793919533952,4.10944414138794,,,576765000.0,0,0.0123793919533952,,67999999.99999984,0.0,67999999.99999984,5425000000.0,,,0.0125345622119815,0.0,0.106316129032258,,,0.0,inf,,,0.0,-0.0062282469316724,False,False,False,False,M,N/A,Normal,Normal_Regime,Normal_Production
2009-05-31,5199000000,-114000000.0,-0.0219272937103289,6.612506866455078,,,545895000.0,0,-0.0219272937103289,,0.0,0.0,0.0,5199000000.0,,,0.0,0.0,0.105,,,0.0,inf,,,0.0,-0.0416589861751152,False,False,False,False,M,N/A,Normal,Normal_Regime,Normal_Production
2009-08-31,5164000000,248000000.0,0.0480247869868319,8.821404457092285,,,542220000.0,0,0.0480247869868319,,247999999.99999997,0.0,247999999.99999997,4916000000.0,,,0.0504475183075671,0.0,0.1102969894222945,,,0.0,inf,,,0.0,-0.0544335449124832,False,False,False,False,M,N/A,Normal,Normal_Regime,Normal_Production
2009-10-31,5277000000,55000000.0,0.010422588592003,10.017464637756348,,,554085000.0,0,0.010422588592003,,54999999.99999984,0.0,54999999.99999984,5222000000.0,,,0.0105323630792799,0.0,0.1061058981233244,,,0.0,inf,,,0.0,0.0622457282343369,False,False,False,False,M,N/A,Normal,Normal_Regime,Normal_Production
2010-01-31,7849000000,,,9.11077117919922,,,824145000.0,0,,,,0.0,,,,,,,,,,0.0,inf,,,0.0,,False,False,False,False,M,N/A,Normal,Normal_Regime,Normal_Production
2010-05-31,5574000000,203000000.0,0.0364190886257624,12.732810020446776,,,585270000.0,0,0.0364190886257624,,202999999.99999964,0.0,202999999.99999964,5371000000.000001,,,0.0377955687953825,0.0,0.1089685347235151,,,0.0,inf,,,0.0,,False,False,False,False,M,N/A,Normal,Normal_Regime,Normal_Production
2010-07-31,5537000000,370000000.0,0.0668231894527722,10.717012405395508,,,581385000.0,0,0.0668231894527722,,369999999.9999997,0.0,369999999.9999997,5167000000.0,,,0.0716082833365588,0.0,0.1125188697503386,,,0.0,inf,,,0.0,-0.0379817538633403,False,False,False,False,M,N/A,Normal,Normal_Regime,Normal_Production
2010-10-31,5623000000,177000000.0,0.0314778587942379,13.634467124938965,,,590415000.0,0,0.0314778587942379,,176999999.99999973,0.0,176999999.99999973,5446000000.0,,,0.0325009181050311,0.0,0.1084125964010282,,,0.0,inf,,,0.0,0.0539965163537836,False,False,False,False,M,N/A,Normal,Normal_Regime,Normal_Production
2011-01-31,8269000000,,,13.361148834228516,,,868245000.0,0,,,,0.0,,,,,,,,,,0.0,inf,,,0.0,,False,False,False,False,M,N/A,Normal,Normal_Regime,Normal_Production
2011-04-30,5889000000,330000000.0,0.0560366785532348,13.829092025756836,,,618345000.0,0,0.0560366785532348,,329999999.9999997,0.0,329999999.9999997,5559000000.0,,,0.059363194819212,0.0,0.1112331354560172,,,0.0,inf,,,0.0,,False,False,False,False,M,N/A,Normal,Normal_Regime,Normal_Production
2011-07-31,5939000000,506000000.0,0.0851995285401582,16.759401321411133,,,623595000.0,0,0.0851995285401582,,505999999.9999996,0.0,505999999.9999996,5433000000.0,,,0.0931345481317871,0.0,0.1147791275538376,,,0.0,inf,,,0.0,-0.02266594711279,False,False,False,False,M,N/A,Normal,Normal_Regime,Normal_Production
2011-10-31,5853000000,291000000.0,0.0497180932854946,17.792316436767578,,,614565000.0,0,0.0497180932854946,,290999999.9999999,0.0,290999999.9999999,5562000000.0,,,0.0523193096008629,0.0,0.1104935275080906,,,0.0,inf,,,0.0,0.0237437879624515,False,False,False,False,M,N/A,Normal,Normal_Regime,Normal_Production
