period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin,price_at_period_end,shares_outstanding,market_cap,KBrand,Opex_Ratio,Selected_Margin,Benchmark_Margin,s_baseline_value,S_Surplus,s_total,V_Prod_base,K_Pi_prime,E_star,E_0,E_1,E_2,E_3,K_Pi_prime_lag,R_t,T_t,dK_Pi_prime,dK_Pi_prime_pct,PDI_t,PGR_t,Gate_C1,Gate_C2,Gate_C3,Speculative_Regime,Ticker,Raw_Configuration,Configuration,Regime,Phase
2008-06-30,337614000,34201000.0,230087000.0,0.1013020787052669,0.3724290132522583,,,55706310.0,0,0.1013020787052669,,34200999.99999998,0.0,34200999.99999998,303413000.00000006,,,0.1127209447189143,0.0,0.1835989558786208,,,0.0,inf,,,0.0,,False,False,False,False,NFLX,N/A,Normal,Normal_Regime,Normal_Production
2008-09-30,341269000,34074000.0,224496000.0,0.0998449903155575,0.4411430060863495,,,56309385.0,0,0.0998449903155575,,34073999.99999999,0.0,34073999.99999999,307195000.0,,,0.1109197740848646,0.0,0.1833017627240026,,,0.0,inf,,,0.0,0.0124648581306665,False,False,False,False,NFLX,N/A,Normal,Normal_Regime,Normal_Production
2009-03-31,394098000,36471000.0,259268000.0,0.0925429715451486,0.6131430268287659,,,65026170.0,0,0.0925429715451486,,36470999.99999997,0.0,36470999.99999997,357627000.00000006,,,0.1019805551594257,0.0,0.1818267916013052,,,0.0,inf,,,0.0,0.1641693386936638,False,False,False,False,NFLX,N/A,Normal,Normal_Regime,Normal_Production
2009-06-30,408509000,52782000.0,269243000.0,0.1292064556717232,0.5905709862709045,,,67403985.0,0,0.1292064556717232,,52781999.99999997,0.0,52781999.99999997,355727000.00000006,,,0.1483778290655473,0.0,0.1894823417958153,,,0.0,inf,,,0.0,-0.0053127979710704,False,False,False,False,NFLX,N/A,Normal,Normal_Regime,Normal_Production
2009-09-30,423120000,49337000.0,275274000.0,0.1166028549820381,0.6595709919929504,,,69814800.0,0,0.1166028549820381,,49336999.99999996,0.0,49336999.99999996,373783000.0,,,0.1319936968776,0.0,0.186778959984804,,,0.0,inf,,,0.0,0.0507580251147647,False,False,False,False,NFLX,N/A,Normal,Normal_Regime,Normal_Production
2010-03-31,493665000,58345000.0,307162000.0,0.118187434798902,1.0534290075302124,,,81454725.0,0,0.118187434798902,,58344999.99999996,0.0,58344999.99999996,435320000.0,,,0.1340278415877973,0.0,0.1871145938619866,,,0.0,inf,,,0.0,0.1646329554848669,False,False,False,False,NFLX,N/A,Normal,Normal_Regime,Normal_Production
2010-06-30,519819000,77342000.0,314934000.0,0.1487864044984889,1.5521429777145386,,,85770135.0,0,0.1487864044984889,,77342000.0,0.0,77342000.0,442477000.0,,,0.1747932660906668,0.0,0.19384088890496,,,0.0,inf,,,0.0,0.0164407791969125,False,False,False,False,NFLX,N/A,Normal,Normal_Regime,Normal_Production
2010-09-30,553219000,69501000.0,344469000.0,0.1256301753916622,2.316570997238159,,,91281135.0,0,0.1256301753916622,,69500999.99999999,0.0,69500999.99999999,483718000.0,,,0.1436808222972888,0.0,0.1887073356790526,,,0.0,inf,,,0.0,0.0932048445455921,False,False,False,False,NFLX,N/A,Normal,Normal_Regime,Normal_Production
2010-12-31,595922000,,,,2.509999990463257,,,98327130.0,0,,,,0.0,,,,,,,,,,0.0,inf,,,0.0,,False,False,False,False,NFLX,N/A,Normal,Normal_Regime,Normal_Production
2011-03-31,718553000,102240000.0,438151000.0,0.1422859552461683,3.396857023239136,,,118561245.0,0,0.1422859552461683,,102239999.99999996,0.0,102239999.99999996,616313000.0,,,0.1658897345991403,0.0,0.1923718062088581,,,0.0,inf,,,0.0,,False,False,False,False,NFLX,N/A,Normal,Normal_Regime,Normal_Production
2011-06-30,788610000,115114000.0,489978000.0,0.1459707586766589,3.752713918685913,,,130120650.0,0,0.1459707586766589,,115113999.99999996,0.0,115113999.99999996,673496000.0,,,0.1709200945514152,0.0,0.1932018156009835,,,0.0,inf,,,0.0,0.092782401150065,False,False,False,False,NFLX,N/A,Normal,Normal_Regime,Normal_Production
2011-09-30,821839000,96842000.0,536617000.0,0.1178357318160856,1.6181429624557495,,,135603435.0,0,0.1178357318160856,,96841999.99999996,0.0,96841999.99999996,724997000.0,,,0.1335757251409315,0.0,0.1870399946482537,,,0.0,inf,,,0.0,0.0764681601672467,False,False,False,False,NFLX,N/A,Normal,Normal_Regime,Normal_Production
2011-12-31,875575000,61872000.0,575155000.0,0.0706644205236558,0.989857017993927,,,144469875.0,0,0.0706644205236558,,61871999.99999993,0.0,61871999.99999993,813703000.0,,,0.0760375714480589,0.0,0.1775461992889297,,,0.0,inf,,,0.0,0.1223536097390747,False,False,False,False,NFLX,N/A,Normal,Normal_Regime,Normal_Production
2012-03-31,869791000,-1935000.0,623933000.0,-0.0022246723638207,1.6434290409088137,,,143515515.0,0,-0.0022246723638207,,0.0,0.0,0.0,869791000.0,,,0.0,0.0,0.165,,,0.0,inf,,,0.0,0.0689293267936828,False,False,False,False,NFLX,N/A,Normal,Normal_Regime,Normal_Production
