period_end,Revenue,OperatingIncome,Operating_Margin,price_at_period_end,shares_outstanding,market_cap,KBrand,Opex_Ratio,Selected_Margin,Benchmark_Margin,s_baseline_value,S_Surplus,s_total,V_Prod_base,K_Pi_prime,E_star,E_0,E_1,E_2,E_3,K_Pi_prime_lag,R_t,T_t,dK_Pi_prime,dK_Pi_prime_pct,PDI_t,PGR_t,Gate_C1,Gate_C2,Gate_C3,Speculative_Regime,Ticker,Raw_Configuration,Configuration,Regime,Phase
2014-03-31,1874000000,,,,,,309210000.0,0,,,,0.0,,,,,,,,,,0.0,inf,,,0.0,,False,False,False,False,PYPL,N/A,Normal,Normal_Regime,Normal_Production
2014-06-30,1983000000,330000000.0,0.1664145234493192,,,,327195000.0,0,0.1664145234493192,,330000000.0,0.0,330000000.0,1653000000.0,,,0.1996370235934664,0.0,0.1979401088929219,,,0.0,inf,,,0.0,,False,False,False,False,PYPL,N/A,Normal,Normal_Regime,Normal_Production
2014-09-30,1975000000,272000000.0,0.1377215189873417,,,,325875000.0,0,0.1377215189873417,,271999999.9999998,0.0,271999999.9999998,1703000000.0,,,0.1597181444509687,0.0,0.1913534938344098,,,0.0,inf,,,0.0,0.0302480338777979,False,False,False,False,PYPL,N/A,Normal,Normal_Regime,Normal_Production
2014-12-31,2193000000,,,,,,361845000.0,0,,,,0.0,,,,,,,,,,0.0,inf,,,0.0,,False,False,False,False,PYPL,N/A,Normal,Normal_Regime,Normal_Production
2015-03-31,2137000000,322000000.0,0.1506785212915301,,,,352605000.0,0,0.1506785212915301,,321999999.9999998,0.0,321999999.9999998,1815000000.0,,,0.1774104683195591,0.0,0.1942727272727272,,,0.0,inf,,,0.0,,False,False,False,False,PYPL,N/A,Normal,Normal_Regime,Normal_Production
2015-06-30,2297000000,398000000.0,0.173269481932956,,,,379005000.0,0,0.173269481932956,,398000000.0,0.0,398000000.0,1899000000.0,,,0.2095839915745128,0.0,0.1995813586097946,,,0.0,inf,,,0.0,0.0462809917355371,False,False,False,False,PYPL,N/A,Normal,Normal_Regime,Normal_Production
2015-09-30,2258000000,330000000.0,0.1461470327723649,30.874929428100582,,,372570000.0,0,0.1461470327723649,,329999999.99999994,0.0,329999999.99999994,1928000000.0,,,0.171161825726141,0.0,0.1932417012448132,,,0.0,inf,,,0.0,0.0152711953659823,False,False,False,False,PYPL,N/A,Normal,Normal_Regime,Normal_Production
2015-12-31,2556000000,,,36.00748825073242,1221690000.0,43989988321.04,421740000.0,0,,,,0.0,,,,,,,,,,0.0,inf,,,0.0,,False,False,False,False,PYPL,N/A,Normal,Normal_Regime,Normal_Production
2016-03-31,2544000000,407000000.0,0.1599842767295597,38.39472579956055,1222680000.0,46944463340.61,419760000.0,0,0.1599842767295597,,406999999.9999999,0.0,406999999.9999999,2137000000.0,43980703340.61,20.9674606179738,0.1904539073467477,0.0,0.1964248947122134,20.580581815914837,,0.0,inf,,,0.0,,True,True,False,False,PYPL,N/A,Normal,Normal_Regime,Normal_Production
2016-06-30,2650000000,371000000.0,0.14,36.31583786010742,1212030000.0,44015884961.59,437250000.0,0,0.14,,371000000.00000006,0.0,371000000.00000006,2279000000.0,40928634961.59,18.31368361631856,0.1627906976744186,0.0,0.191860465116279,17.95903245352786,43980703340.61,0.0084355176661632,118.54637019032342,-3052068379.0200043,-0.0693956246079822,0.1083822929959156,0.0664482919981281,True,True,True,True,PYPL,C4,C4,Speculative_Regime,Partial_Absorption
