period_end,Revenue,OperatingIncome,Operating_Margin,price_at_period_end,shares_outstanding,market_cap,KBrand,Opex_Ratio,Selected_Margin,Benchmark_Margin,s_baseline_value,S_Surplus,s_total,V_Prod_base,K_Pi_prime,E_star,E_0,E_1,E_2,E_3,K_Pi_prime_lag,R_t,T_t,dK_Pi_prime,dK_Pi_prime_pct,PDI_t,PGR_t,Gate_C1,Gate_C2,Gate_C3,Speculative_Regime,Ticker,Raw_Configuration,Configuration,Regime,Phase
2008-08-31,14971000000,,,33.05107879638672,,,1571955000.0,0,,,,0.0,,,,,,,,,,0.0,inf,,,0.0,,False,False,False,False,TGT,N/A,Normal,Normal_Regime,Normal_Production
2008-11-30,14588000000,,,21.15178680419922,,,1531740000.0,0,,,,0.0,,,,,,,,,,0.0,inf,,,0.0,,False,False,False,False,TGT,N/A,Normal,Normal_Regime,Normal_Production
2009-05-31,14361000000,,,24.854990005493164,,,1507905000.0,0,,,,0.0,,,,,,,,,,0.0,inf,,,0.0,,False,False,False,False,TGT,N/A,Normal,Normal_Regime,Normal_Production
2009-08-31,14567000000,,,29.84740829467773,,,1529535000.0,0,,,,0.0,,,,,,,,,,0.0,inf,,,0.0,,False,False,False,False,TGT,N/A,Normal,Normal_Regime,Normal_Production
2009-10-31,14789000000,,,30.75551986694336,,,1552845000.0,0,,,,0.0,,,,,,,,,,0.0,inf,,,0.0,,False,False,False,False,TGT,N/A,Normal,Normal_Regime,Normal_Production
2010-05-31,15158000000,,,34.97490692138672,,,1591590000.0,0,,,,0.0,,,,,,,,,,0.0,inf,,,0.0,,False,False,False,False,TGT,N/A,Normal,Normal_Regime,Normal_Production
2010-07-31,15126000000,1245000000.0,0.0823086076953589,32.91604232788086,,,1588230000.0,0,0.0823086076953589,,1244999999.9999988,0.0,1244999999.9999988,13881000000.000002,,,0.0896909444564511,0.0,0.1144175491679273,,,0.0,inf,,,0.0,,False,False,False,False,TGT,N/A,Normal,Normal_Regime,Normal_Production
2010-10-31,15226000000,947000000.0,0.062196243268094,33.4780387878418,,,1598730000.0,0,0.062196243268094,,946999999.9999992,0.0,946999999.9999992,14279000000.0,,,0.0663211709503466,0.0,0.1119637229497864,,,0.0,inf,,,0.0,0.0286722858583674,False,False,False,False,TGT,N/A,Normal,Normal_Regime,Normal_Production
2011-01-31,20277000000,,,35.50581359863281,,,2129085000.0,0,,,,0.0,,,,,,,,,,0.0,inf,,,0.0,,False,False,False,False,TGT,N/A,Normal,Normal_Regime,Normal_Production
2011-04-30,15580000000,1245000000.0,0.0799101412066752,31.94210433959961,,,1635900000.0,0,0.0799101412066752,,1244999999.9999995,0.0,1244999999.9999995,14335000000.0,,,0.0868503662364841,0.0,0.1141192884548308,,,0.0,inf,,,0.0,,False,False,False,False,TGT,N/A,Normal,Normal_Regime,Normal_Production
2011-07-31,15895000000,1282000000.0,0.0806542938030827,33.660255432128906,,,1668975000.0,0,0.0806542938030827,,1281999999.9999995,0.0,1281999999.9999995,14613000000.0,,,0.0877301033326489,0.0,0.1142116608499281,,,0.0,inf,,,0.0,0.0193930938262991,False,False,False,False,TGT,N/A,Normal,Normal_Regime,Normal_Production
2011-10-31,16054000000,1039000000.0,0.0647190731281923,36.0145378112793,,,1685670000.0,0,0.0647190731281923,,1038999999.9999992,0.0,1038999999.9999992,15015000000.0,,,0.0691974691974691,0.0,0.1122657342657342,,,0.0,inf,,,0.0,0.0275097515910489,False,False,False,False,TGT,N/A,Normal,Normal_Regime,Normal_Production
2012-01-31,20937000000,,,33.6128044128418,,,2198385000.0,0,,,,0.0,,,,,,,,,,0.0,inf,,,0.0,,False,False,False,False,TGT,N/A,Normal,Normal_Regime,Normal_Production
2012-04-30,16537000000,1285000000.0,0.0777045413315595,38.55016326904297,,,1736385000.0,0,0.0777045413315595,,1284999999.9999995,0.0,1284999999.9999995,15252000000.000002,,,0.0842512457382637,0.0,0.1138463808025176,,,0.0,inf,,,0.0,,False,False,False,False,TGT,N/A,Normal,Normal_Regime,Normal_Production
2012-07-31,16451000000,1255000000.0,0.0762871557960002,40.572845458984375,,,1727355000.0,0,0.0762871557960002,,1254999999.9999993,0.0,1254999999.9999993,15196000000.0,,,0.0825875230323768,0.0,0.1136716899183995,,,0.0,inf,,,0.0,-0.0036716496197221,False,False,False,False,TGT,N/A,Normal,Normal_Regime,Normal_Production
