period_end,Revenue,OperatingIncome,Operating_Margin,price_at_period_end,shares_outstanding,market_cap,KBrand,Opex_Ratio,Selected_Margin,Benchmark_Margin,s_baseline_value,S_Surplus,s_total,V_Prod_base,K_Pi_prime,E_star,E_0,E_1,E_2,E_3,K_Pi_prime_lag,R_t,T_t,dK_Pi_prime,dK_Pi_prime_pct,PDI_t,PGR_t,Gate_C1,Gate_C2,Gate_C3,Speculative_Regime,Ticker,Raw_Configuration,Configuration,Regime,Phase
2014-05-31,6491176000,803563000.0,0.1237931308594929,23.18427085876465,,,681573480.0,0,0.1237931308594929,,803562999.9999996,0.0,803562999.9999996,5687613000.000001,,,0.1412829951686234,0.0,0.1198347144927054,,,0.0,inf,,,0.0,,False,False,False,False,TJX,N/A,Normal,Normal_Regime,Normal_Production
2014-08-31,6917212000,930887000.0,0.1345754619057504,25.46316337585449,,,726307260.0,0,0.1345754619057504,,930886999.9999996,0.0,930886999.9999996,5986325000.0,,,0.1555022488755621,0.0,0.121327736131934,,,0.0,inf,,,0.0,0.0525197477395171,False,False,False,False,TJX,N/A,Normal,Normal_Regime,Normal_Production
2014-11-30,7366066000,1049644000.0,0.1424972298646251,28.33856773376465,,,773436930.0,0,0.1424972298646251,,1049643999.9999996,0.0,1049643999.9999996,6316422000.0,,,0.1661769907077138,0.0,0.1224485840243099,,,0.0,inf,,,0.0,0.0551418441197228,False,False,False,False,TJX,N/A,Normal,Normal_Regime,Normal_Production
2015-01-31,8303953000,,,28.244340896606445,,,871915065.0,0,,,,0.0,,,,,,,,,,0.0,inf,,,0.0,,False,False,False,False,TJX,N/A,Normal,Normal_Regime,Normal_Production
2015-05-31,6865637000,845129000.0,0.1230954971840194,27.73494529724121,,,720891885.0,0,0.1230954971840194,,845128999.9999994,0.0,845128999.9999994,6020508000.000001,,,0.1403750314757491,0.0,0.1197393783049536,,,0.0,inf,,,0.0,,False,False,False,False,TJX,N/A,Normal,Normal_Regime,Normal_Production
2015-08-31,7363731000,998236000.0,0.1355611713681556,30.38485336303711,,,773191755.0,0,0.1355611713681556,,998235999.9999998,0.0,998235999.9999998,6365495000.0,,,0.1568198545439121,0.0,0.1214660847271107,,,0.0,inf,,,0.0,0.0573019751821606,False,False,False,False,TJX,N/A,Normal,Normal_Regime,Normal_Production
2015-10-31,7753495000,1041335000.0,0.1343052391211963,31.62494659423828,,,814116975.0,0,0.1343052391211963,,1041335000.0,0.0,1041335000.0,6712160000.0,,,0.1551415639674858,0.0,0.121289864216586,,,0.0,inf,,,0.0,0.0544600223548994,False,False,False,False,TJX,N/A,Normal,Normal_Regime,Normal_Production
2016-01-31,8962075000,,,30.871273040771484,669529000.0,20669212567.71,941017875.0,0,,,,0.0,,,,,,,,,,0.0,inf,,,0.0,,False,False,False,False,TJX,N/A,Normal,Normal_Regime,Normal_Production
2016-04-30,7542356000,918886000.0,0.1218301018938909,32.95772171020508,662591000.0,21837489785.69,791947380.0,0,0.1218301018938909,,918885999.9999994,0.0,918885999.9999994,6623470000.000001,13503186405.69,2.296986290522943,0.1387318127809138,0.0,0.1195668403419959,2.038687637400033,,0.0,inf,,,0.0,,True,True,False,False,TJX,N/A,Normal,Normal_Regime,Normal_Production
2016-07-31,7882053000,1035194000.0,0.1313355797023948,35.641502380371094,661084000.0,23562026959.63,827615565.0,0,0.1313355797023948,,1035194000.0,0.0,1035194000.0,6846859000.000001,14852358394.63,2.441289934498432,0.1511925395279791,0.0,0.1208752166504378,2.1692221783200147,13503186405.69,0.0766629422788526,13.04411193041111,1349171988.9400024,0.0999150828852874,0.4341590195472497,0.0337268833406054,True,True,True,True,TJX,C3,C3,Speculative_Regime,Accumulation_Phase
2016-10-31,8291688000,1083143000.0,0.1306299754645857,32.26829147338867,651901000.0,21035731479.79,870627240.0,0,0.1306299754645857,,1083142999.9999998,0.0,1083142999.9999998,7208545000.000001,11873416239.79,1.9181660764814532,0.1502582005106439,0.0,0.1207771110536176,1.647130764917192,14852358394.63,0.072927340643195,13.712278429191716,-2978942154.84,-0.2005703118446874,0.2666470442426417,0.0528250983407136,True,True,True,True,TJX,C4,C4,Speculative_Regime,Partial_Absorption
2017-01-31,9467647000,,,32.89684295654297,651901000.0,21445484820.21,994102935.0,0,,,,0.0,,,,,,,,,11873416239.79,0.0,inf,,,0.0,,False,False,False,False,TJX,N/A,Normal,Normal_Regime,Normal_Production
2017-04-30,7784024000,948997000.0,0.1219159910092774,34.64986038208008,644553024.0,22333672290.45,817322520.0,0,0.1219159910092774,,948996999.9999996,0.0,948996999.9999996,6835027000.0,13732325770.45,2.26753241654349,0.1388431969617676,0.0,0.1195785356809856,2.0091106839007367,,0.0,inf,,,0.0,,True,True,False,False,TJX,N/A,Normal,Normal_Regime,Normal_Production
2017-07-31,8357700000,1010422000.0,0.1208971367720784,31.10356712341309,643276032.0,20008179240.19,877558500.0,0,0.1208971367720784,,1010421999.9999996,0.0,1010421999.9999996,7347278000.000001,10772920740.19,1.723209771045821,0.1375233113542184,0.0,0.1194399476921929,1.4662465119994097,13732325770.45,0.0735798157493673,13.590683665290353,-2959405030.260002,-0.2155064684401981,0.2545254471537573,0.0749449855867432,True,True,True,True,TJX,C4,C4,Speculative_Regime,Partial_Absorption
2017-10-31,8762220000,1123465000.0,0.1282169358906761,31.01530647277832,625203008.0,19390862900.82,920033100.0,0,0.1282169358906761,,1123464999.9999998,0.0,1123464999.9999998,7638755000.0,9708609800.82,1.5384847270032878,0.1470743596305942,0.0,0.1204428077612124,1.2709675596114811,10772920740.19,0.1042860174222525,9.589013222654913,-1064310939.3699988,-0.0987950217993739,0.5135192227790555,0.0396714266154076,True,True,True,True,TJX,C4,C4,Speculative_Regime,Partial_Absorption
2018-02-28,10960720000,,,37.0611457824707,,,1150875600.0,0,,,,0.0,,,,,,,,,9708609800.82,0.0,inf,,,0.0,,False,False,False,False,TJX,N/A,Normal,Normal_Regime,Normal_Production
2018-05-31,8688720000,1063826000.0,0.1224375972525297,40.671085357666016,,,912315600.0,0,0.1224375972525297,,1063826000.0,0.0,1063826000.0,7624894000.0,,,0.1395201034925862,0.0,0.1196496108667215,,,0.0,inf,,,0.0,,False,False,False,False,TJX,N/A,Normal,Normal_Regime,Normal_Production
