period_end,Revenue,OperatingIncome,Operating_Margin
2008-06-30,7464000000,1392000000.0,0.1864951768488746
2008-12-31,11880000000,3101000000.0,0.26102693602693605
2009-03-31,9084000000,2323000000.0,0.25572435050638487
2009-06-30,9734000000,2632000000.0,0.27039243887404973
2009-09-30,12207000000,,
2009-12-31,15683000000,4725000000.0,0.3012816425428808
2010-03-31,13499000000,3979000000.0,0.29476257500555597
2010-06-30,15700000000,4234000000.0,0.2696815286624204
2010-09-30,20343000000,,
2010-12-31,26741000000,7827000000.0,0.2926966082046296
2011-03-31,24667000000,7874000000.0,0.31921190254185755
2011-06-30,28571000000,9379000000.0,0.32826992404886074
2011-09-30,28270000000,,
2011-12-31,46333000000,17340000000.0,0.37424729674314205
2012-03-31,39186000000,15384000000.0,0.3925891900168427
2012-06-30,35023000000,11573000000.0,0.3304399965736802
2012-09-30,35966000000,,
2012-12-31,54512000000,17210000000.0,0.3157103023187555
2013-03-31,43603000000,12558000000.0,0.2880077058917964
2013-06-30,35323000000,9201000000.0,0.2604818390283951
2013-09-30,37472000000,,
2013-12-31,57594000000,17463000000.0,0.3032086675695385
2014-03-31,45646000000,13593000000.0,0.2977917013538974
2014-06-30,37432000000,10282000000.0,0.2746847617012182
2014-09-30,42123000000,,
2014-12-31,74599000000,24246000000.0,0.3250177616321935
2015-03-31,58010000000,18278000000.0,0.3150836062747802
2015-06-30,49605000000,14083000000.0,0.2839028323757686
2015-09-30,51501000000,,
2015-12-31,75872000000,24171000000.0,0.31857602277520036
2016-03-31,50557000000,13987000000.0,0.27665802955080404
2016-06-30,42358000000,10105000000.0,0.23856178289815383
2016-09-30,46852000000,,
2016-12-31,78351000000,23359000000.0,0.2981327615473957
2017-04-30,52896000000,14097000000.0,0.2665040834845735
2017-07-31,45408000000,10768000000.0,0.23713883016208598
2017-09-30,52579000000,,
2017-12-31,88293000000,26274000000.0,0.29757738439060855
2018-03-31,61137000000,15894000000.0,0.2599735021345503
2018-06-30,53265000000,12612000000.0,0.23677837228949591
