period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin
2020-03-31,841830000,-325489000,277772000,-0.38664457194445434
2020-06-30,334774000,-583215000,161198000,-1.0
2020-09-30,1342331000,418737000,227325000,0.31194764927577473
2021-03-31,886936000,-446945000,254515000,-0.5039202377623639
2021-06-30,1335196000,-51278000,294427000,-0.03840484842674783
2021-09-30,2237432000,851973000,311580000,0.38078162822378514
2022-03-31,1509000000,-5000000,363000000,-0.0033134526176275677
2022-06-30,2104107000,369000000,390107000,0.17537130953891603
2022-09-30,2884410000,1203481000,401149000,0.4172364539021845
2023-03-31,1818000000,-5000000,428000000,-0.0027502750275027505
2023-06-30,2484000000,523000000,432000000,0.2105475040257649
2023-09-30,3397000000,1496000000,459000000,0.4403885781571975
2024-03-31,2142000000,101000000,480000000,0.04715219421101774
2024-06-30,2748000000,497000000,506000000,0.18085880640465793
2024-09-30,3732000000,1525000000,465000000,0.40862808145766344
2025-03-31,2272000000,38000000,506000000,0.016725352112676055
2025-06-30,3096000000,612000000,544000000,0.19767441860465115
2025-09-30,4095000000,1625000000,549000000,0.3968253968253968
