period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin
2009-03-31,2020586000,422764000.0,573386000.0,0.20922841195573957
2009-06-30,2097992000,411689000.0,591773000.0,0.19623001422312383
2009-09-30,2237852000,442941000.0,643908000.0,0.1979313198549323
2009-12-31,2370932000,,,
2010-03-31,2196057000,488609000.0,606555000.0,0.22249376951509
2010-06-30,2215379000,484565000.0,615371000.0,0.21872781135868852
2010-09-30,2249488000,490176000.0,640268000.0,0.21790558562659593
2010-12-31,2495350000,,,
2011-03-31,2546000000,565000000.0,729000000.0,0.22191673212882954
2011-06-30,2760274000,519000000.0,773462000.0,0.1880248120295304
2011-09-30,2966000000,537000000.0,920000000.0,0.18105192178017532
2011-12-31,3380010000,,,
2012-03-31,3277000000,653000000.0,983000000.0,0.19926762282575528
2012-06-30,3398000000,695000000.0,987000000.0,0.20453207769276044
2012-09-30,3404000000,667000000.0,1022000000.0,0.19594594594594594
2012-12-31,3992000000,,,
2013-03-31,3748000000,800000000.0,1152000000.0,0.21344717182497333
2013-06-30,3877000000,750000000.0,1211000000.0,0.19344854268764508
2013-09-30,3892000000,799000000.0,1224000000.0,0.2052929085303186
2013-12-31,4530000000,,,
2014-03-31,4262000000,878000000.0,1351000000.0,0.2060065696855936
2014-06-30,4366000000,854000000.0,1392000000.0,0.19560238204306002
2014-09-30,4353000000,781000000.0,1389000000.0,0.17941649437169768
2014-12-31,4921000000,,,
2015-03-31,4448000000,732000000.0,1450000000.0,0.164568345323741
2015-06-30,4379000000,741000000.0,1348000000.0,0.16921671614523864
2015-09-30,2099000000,578000000.0,433000000.0,0.2753692234397332
2015-12-31,2322000000,,,
2016-03-31,2137000000,614000000.0,477000000.0,0.28731867103416003
2016-06-30,2230000000,531000000.0,493000000.0,0.23811659192825113
2016-09-30,2217000000,542000000.0,498000000.0,0.2444745151105097
2016-12-31,2395000000,,,
2017-03-31,2303000000,547000000.0,515000000.0,0.23751628310898829
2017-06-30,2419000000,480000000.0,561000000.0,0.19842910293509713
2017-09-30,2409000000,578000000.0,556000000.0,0.23993358239933582
2017-12-31,2613000000,,,
2018-03-31,2580000000,579000000.0,559000000.0,0.22441860465116278
2018-06-30,2640000000,406000000.0,597000000.0,0.15378787878787878
