period_end,Revenue,OperatingIncome,Operating_Margin
2008-08-31,3499000000,373000000.0,0.1066018862532152
2008-11-30,3561000000,394000000.0,0.11064307778713844
2009-05-31,3127000000,353000000.0,0.11288775183882316
2009-08-31,3245000000,375000000.0,0.11556240369799692
2009-10-31,3589000000,500000000.0,0.13931457230426303
2010-01-31,4236000000,,
2010-05-31,3329000000,474000000.0,0.14238510063082008
2010-07-31,3317000000,397000000.0,0.11968646367199276
2010-10-31,3654000000,504000000.0,0.13793103448275862
2011-01-31,4364000000,,
2011-04-30,3295000000,386000000.0,0.11714719271623672
2011-07-31,3386000000,334000000.0,0.09864146485528648
2011-10-31,3585000000,346000000.0,0.09651324965132496
2012-01-31,4283000000,,
2012-04-30,3487000000,395000000.0,0.11327788930312589
2012-07-31,3575000000,425000000.0,0.11888111888111888
2012-10-31,3864000000,520000000.0,0.13457556935817805
2013-02-28,4725000000,,
2013-05-31,3729000000,530000000.0,0.14212925717350497
2013-08-31,3868000000,521000000.0,0.1346949327817994
2013-11-30,3976000000,576000000.0,0.1448692152917505
2014-02-28,4575000000,,
2014-05-31,3774000000,443000000.0,0.11738208797032326
2014-08-31,3981000000,567000000.0,0.14242652599849284
2014-11-30,3972000000,554000000.0,0.13947633434038267
2015-01-31,4708000000,,
2015-05-31,3657000000,386000000.0,0.10555099808586273
2015-08-31,3898000000,369000000.0,0.09466393022062596
2015-10-31,3857000000,414000000.0,0.10733730878921441
2016-01-31,4385000000,,
2016-04-30,3438000000,222000000.0,0.06457242582897033
2016-07-31,3851000000,279000000.0,0.07244871461957933
2016-10-31,3798000000,389000000.0,0.10242232754081096
2017-01-31,4429000000,,
2017-04-30,3440000000,254000000.0,0.07383720930232558
2017-07-31,3799000000,451000000.0,0.11871545143458805
2017-10-31,3838000000,378000000.0,0.09848879624804585
2018-02-28,4778000000,,
2018-05-31,3783000000,229000000.0,0.060533967750462596
