period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin
2008-08-31,3725000000,406000000.0,,0.10899328859060403
2008-11-30,3804000000,285000000.0,,0.0749211356466877
2009-05-31,3638000000,251000000.0,,0.06899395272127543
2009-08-31,3806000000,399000000.0,,0.10483447188649501
2009-10-31,4051000000,339000000.0,,0.08368304122438903
2010-01-31,5682000000,,,
2010-05-31,4035000000,388000000.0,,0.09615861214374226
2010-07-31,4100000000,488000000.0,,0.11902439024390243
2010-10-31,4218000000,356000000.0,,0.08440018966334756
2011-01-31,6038000000,,,
2011-04-30,4162000000,391000000.0,,0.09394521864488227
2011-07-31,4248000000,547000000.0,,0.12876647834274954
2011-10-31,4376000000,415000000.0,,0.09483546617915906
2012-01-31,6018000000,,,
2012-04-30,4243000000,321000000.0,,0.07565401838321942
2012-07-31,4205000000,457000000.0,,0.10868014268727705
2012-10-31,4490000000,425000000.0,,0.09465478841870824
2013-02-28,6342000000,,,
2013-05-31,4199000000,317000000.0,,0.07549416527744701
2013-08-31,4289000000,451000000.0,,0.10515271625087433
2013-11-30,4444000000,365000000.0,,0.08213321332133214
2014-02-28,6099000000,,,
2014-05-31,4070000000,280000000.0,,0.0687960687960688
2014-08-31,4242000000,451000000.0,,0.10631777463460632
2014-11-30,4374000000,304000000.0,,0.0695016003657979
2015-01-31,6337000000,,,
2015-05-31,4123000000,280000000.0,,0.06791171477079797
2015-08-31,4267000000,424000000.0,,0.09936723693461448
2015-10-31,4427000000,308000000.0,,0.06957307431669302
2016-01-31,6387000000,,,
2016-04-30,3972000000,106000000.0,,0.026686807653575024
2016-07-31,4182000000,302000000.0,,0.07221425155428025
2016-10-31,4327000000,301000000.0,,0.06956320776519528
2017-01-31,6205000000,,,
2017-04-30,3843000000,185000000.0,,0.04813947436898257
2017-07-31,4147000000,407000000.0,,0.09814323607427056
2017-10-31,4332000000,257000000.0,2727000000.0,0.05932594644506002
2018-02-28,6776000000,,,
2018-05-31,3953000000,210000000.0,,0.053124209461168734
2018-08-31,4310000000,452000000.0,,0.1048723897911833
