period_end,Revenue,OperatingIncome,Operating_Margin
2008-08-31,14509000000,,
2008-10-31,11728000000,,
2009-05-31,11832000000,,
2009-07-31,13844000000,,
2009-10-31,11375000000,,
2010-04-30,12388000000,,
2010-07-31,14361000000,,
2010-10-31,11587000000,,
2011-04-30,12185000000,,
2011-07-31,14543000000,,
2011-10-31,11852000000,,
2012-05-31,13153000000,,
2012-08-31,14249000000,,
2012-11-30,12073000000,,
2013-05-31,13088000000,,
2013-08-31,15711000000,,
2013-11-30,12957000000,,
2014-05-31,13403000000,,
2014-08-31,16599000000,,
2014-10-31,13681000000,,
2015-05-31,14129000000,,
2015-07-31,17348000000,,
2015-10-31,14360000000,,
2016-04-30,15234000000,1586000000.0,0.10410922935538926
2016-07-31,18260000000,2051000000.0,0.11232201533406352
2016-10-31,15739000000,939000000.0,0.05966071542029354
2017-05-31,16860000000,1559000000.0,0.09246737841043891
2017-08-31,19495000000,2382000000.0,0.12218517568607336
2017-11-30,16770000000,1547000000.0,0.09224806201550388
2018-05-31,17360000000,1465000000.0,0.08438940092165899
