period_end,Revenue,OperatingIncome,Operating_Margin
2008-08-31,5718000000,259000000.0,0.04529555788737321
2008-11-30,5493000000,68000000.0,0.01237939195339523
2009-05-31,5199000000,-114000000.0,-0.02192729371032891
2009-08-31,5164000000,248000000.0,0.048024786986831915
2009-10-31,5277000000,55000000.0,0.010422588592003032
2010-01-31,7849000000,,
2010-05-31,5574000000,203000000.0,0.03641908862576247
2010-07-31,5537000000,370000000.0,0.06682318945277226
2010-10-31,5623000000,177000000.0,0.03147785879423795
2011-01-31,8269000000,,
2011-04-30,5889000000,330000000.0,0.056036678553234846
2011-07-31,5939000000,506000000.0,0.08519952854015828
2011-10-31,5853000000,291000000.0,0.04971809328549462
2012-01-31,8724000000,,
2012-04-30,6143000000,391000000.0,0.06364968256552173
2012-07-31,6118000000,554000000.0,0.09055246812683884
2012-10-31,6075000000,325000000.0,0.053497942386831275
2013-02-28,9350000000,,
2013-05-31,6387000000,435000000.0,0.06810709253170502
2013-08-31,6066000000,534000000.0,0.08803165182987141
2013-11-30,6276000000,360000000.0,0.05736137667304015
2014-02-28,9202000000,,
2014-05-31,6279000000,443000000.0,0.07055263577002707
2014-08-31,6267000000,571000000.0,0.09111217488431467
2014-11-30,6195000000,422000000.0,0.06811945117029863
2015-01-31,9364000000,,
2015-05-31,6232000000,409000000.0,0.06562901155327343
2015-08-31,6104000000,436000000.0,0.07142857142857142
2015-10-31,5874000000,258000000.0,0.043922369765066395
2016-01-31,8869000000,,
2016-04-30,5771000000,276000000.0,0.047825333564373594
2016-07-31,5866000000,117000000.0,0.019945448346403
2016-10-31,5626000000,107000000.0,0.019018841094916458
2017-01-31,8515000000,,
2017-04-30,5350000000,220000000.0,0.041121495327102804
2017-07-31,5636000000,282000000.0,0.05003548616039744
2017-10-31,5281000000,121000000.0,0.022912327210755538
2018-02-28,8666000000,,
2018-05-31,5541000000,238000000.0,0.04295253564338567
2018-08-31,5572000000,303000000.0,0.05437903804737976
