period_end,Revenue,OperatingIncome,Operating_Margin
2020-09-30,0,-288000000,
2021-03-31,0,-410000000,
2021-06-30,0,-580000000,
2021-09-30,1000000,-776000000,-1.0
2022-03-31,95000000,-1579000000,-1.0
2022-06-30,364000000,-1708000000,-1.0
2022-09-30,536000000,-1774000000,-1.0
2023-03-31,661000000,-1433000000,-1.0
2023-06-30,1121000000,-1285000000,-1.0
2023-09-30,1337000000,-1440000000,-1.0
2024-03-31,1204000000,-1484000000,-1.0
2024-06-30,1158000000,-1375000000,-1.0
2024-09-30,874000000,-1169000000,-1.0
2025-03-31,1240000000,-655000000,-0.5282258064516129
2025-06-30,1303000000,-1114000000,-0.8549501151189562
2025-09-30,1558000000,-983000000,-0.6309370988446726
