period_end,Revenue,OperatingIncome,Operating_Margin
2019-10-31,73012000,-90132000,-1.0
2020-04-30,108815000,-96403000,-0.8859348435417911
2020-07-31,133145000,-77683000,-0.5834466183484172
2020-10-31,159624000,-169454000,-1.0
2021-04-30,228914000,-205595000,-0.8981320495906759
2021-07-31,272198000,-200141000,-0.7352772614053006
2021-10-31,334441000,-157271000,-0.4702503580601661
2022-04-30,422371000,-188766000,-0.44691988796579313
2022-07-31,497248000,-207732000,-0.41776336958620247
2022-10-31,557028000,-206019000,-0.369853939119757
2023-04-30,623599000,-273238000,-0.4381629861497533
2023-07-31,674018000,-285407000,-0.4234412137361317
2023-10-31,734173000,-260623000,-0.3549885381238482
2024-04-30,828709000,-348572000,-0.4206205073192158
2024-07-31,868823000,-355303000,-0.4089475071447234
2024-10-31,942094000,-365457000,-0.3879198890981155
2025-04-30,1042074000,-447257000,-0.42919888606759216
2025-07-31,1144969000,-340276000,-0.29719232573108967
2025-10-31,1212909000,-329473000,-0.27163868023075105
