period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin
2018-01-31,769426000,107718000,181156000,0.1399978685409643
2018-04-30,776836000,127014000,178779000,0.1635016914767081
2018-07-31,779714000,63968000,185381000,0.08204033786747449
2019-01-31,820401000,147414000,192892000,0.17968530023732296
2019-04-30,836242000,115502000,190679000,0.13812030488781957
2019-07-31,852970000,127594000,186632000,0.149587910477508
2020-01-31,834381000,87516000,192868000,0.10488733564163134
2020-04-30,861327000,125895000,184265000,0.14616400043189173
2020-07-31,964134000,210598000,193008000,0.21843229260662936
2021-01-31,970321000,148348000,207999000,0.1528854884105363
2021-04-30,1024323000,194231000,213986000,0.18961889950728433
2021-07-31,1057130000,201923000,205066000,0.19101056634472582
2022-01-31,1270255000,347036000,256984000,0.2732018374263435
2022-04-30,1279229000,363701000,252811000,0.2843126602039197
2022-07-31,1247766000,233928000,271181000,0.18747745971600444
2023-01-31,1361340000,255932000,284354000,0.18800005876562798
2023-04-30,1394863000,292375000,298014000,0.20960839881766166
2023-07-31,1487288000,300076000,307482000,0.2017605198186229
2024-01-31,1649230000,359620000,329175000,0.21805327334574318
2024-04-30,1454712000,332072000,300397000,0.22827336269997087
2024-07-31,1525749000,360211000,290676000,0.23608798039520262
2025-01-31,1455315000,251839000,269975000,0.17304775941978198
2025-04-30,1604266000,376426000,318347000,0.2346406393952125
2025-07-31,1739737000,165269000,380564000,0.09499654258086136
2026-01-31,2408798000,203046000,637382000,0.08429349409954674
