period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin
2015-03-31,250557000,-46350000,176272000,-0.1849878470767131
2015-06-30,310013000,-28074000,219671000,-0.09055749275030402
2015-09-30,332188000,-52217000,235878000,-0.15719110864931907
2016-03-31,379269000,-97133000,269029000,-0.2561058246257933
2016-06-30,438533000,-27360000,289574000,-0.06238983155201547
2016-09-30,439002000,-31982000,288688000,-0.07285160432070925
2017-03-31,461554000,-14082000,288123000,-0.03050997283091469
2017-06-30,551505000,-12224000,344076000,-0.022164803582923092
2017-09-30,585159000,-14891000,366543000,-0.025447784277435704
2018-03-31,668603000,-20992000,413433000,-0.03139680797124751
