period_end,Revenue,OperatingIncome,Operating_Margin
2008-08-31,14971000000,,
2008-11-30,14588000000,,
2009-05-31,14361000000,,
2009-08-31,14567000000,,
2009-10-31,14789000000,,
2010-05-31,15158000000,,
2010-07-31,15126000000,1245000000.0,0.08230860769535898
2010-10-31,15226000000,947000000.0,0.06219624326809405
2011-01-31,20277000000,,
2011-04-30,15580000000,1245000000.0,0.07991014120667522
2011-07-31,15895000000,1282000000.0,0.08065429380308273
2011-10-31,16054000000,1039000000.0,0.06471907312819235
2012-01-31,20937000000,,
2012-04-30,16537000000,1285000000.0,0.07770454133155953
2012-07-31,16451000000,1255000000.0,0.07628715579600025
2012-10-31,16601000000,1008000000.0,0.060719233781097524
2013-02-28,22370000000,,
2013-05-31,16706000000,1034000000.0,0.06189393032443433
2013-08-31,17117000000,1161000000.0,0.0678273061868318
2013-11-30,17258000000,739000000.0,0.04282072082512458
2014-02-28,21516000000,,
2014-05-31,17050000000,1053000000.0,0.06175953079178886
2014-08-31,17406000000,1149000000.0,0.06601172009651844
2014-11-30,17732000000,916000000.0,0.05165801939995488
2015-01-31,21751000000,,
2015-05-31,17119000000,1261000000.0,0.07366084467550675
2015-08-31,17427000000,1350000000.0,0.07746600103288001
2015-10-31,17613000000,962000000.0,0.05461874751603929
2016-01-31,21626000000,,
2016-04-30,16196000000,1323000000.0,0.08168683625586565
2016-07-31,16169000000,1241000000.0,0.07675180901725524
2016-10-31,16441000000,1057000000.0,0.06429049327899763
2017-01-31,20690000000,,
2017-04-30,16223000000,1178000000.0,0.07261295691302472
2017-07-31,16634000000,1114000000.0,0.06697126367680654
2017-10-31,16667000000,869000000.0,0.052138957220855583
2018-02-28,22766000000,1129000000.0,0.04959149609066151
2018-05-31,16781000000,1041000000.0,0.0620344437161075
2018-08-31,17776000000,1133000000.0,0.06373762376237624
