period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin
2008-07-31,101546000000,5813000000.0,77118000000,0.05724499241722963
2008-10-31,97619000000,5292000000.0,73621000000,0.05421075815158934
2009-04-30,93471000000,5217000000.0,70395000000,0.055814102769843055
2009-07-31,100168000000,5929000000.0,75153000000,0.059190559859436144
2009-10-31,98667000000,5593000000.0,73915000000,0.05668561930534018
2010-01-31,112826000000,,85078000000,
2010-04-30,99097000000,5772000000.0,74703000000,0.0582459610280836
2010-07-31,103016000000,6190000000.0,77523000000,0.06008775335870156
2010-10-31,101239000000,5611000000.0,75906000000,0.05542330524797756
2011-01-31,115600000000,,87158000000,
2011-04-30,103415000000,5896000000.0,78177000000,0.057013005850215154
2011-07-31,108638000000,6383000000.0,81770000000,0.058754763526574494
2011-10-31,109516000000,5878000000.0,82591000000,0.05367252273640381
2012-01-31,122285000000,,92589000000,
2012-04-30,112272000000,6387000000.0,85186000000,0.05688862761864044
2012-07-31,113534000000,6698000000.0,85657000000,0.05899554318530132
2012-10-31,113204000000,6116000000.0,85517000000,0.05402635949259744
2013-01-31,127104000000,,96128000000,
2013-04-30,113429000000,6456000000.0,86027000000,0.0569166615239489
2013-07-31,116216000000,6793000000.0,87455000000,0.058451504095821574
2013-10-31,114876000000,6310000000.0,86687000000,0.05492879278526411
2014-01-31,128786000000,,97971000000,
2014-04-30,114167000000,6193000000.0,86714000000,0.05424509709460702
2014-07-31,119336000000,6740000000.0,90010000000,0.056479184822685526
2014-10-31,118076000000,6265000000.0,89247000000,0.05305904671567465
2015-01-31,130650000000,,99115000000,
2015-04-30,114002000000,5680000000.0,86483000000,0.04982368730373151
2015-07-31,119330000000,6069000000.0,90056000000,0.0508589625408531
2015-10-31,116598000000,5714000000.0,87446000000,0.049005986380555415
2016-01-31,128684000000,,96999000000,
2016-04-30,114986000000,5275000000.0,86544000000,0.045875150018263096
2016-07-31,119405000000,6165000000.0,89485000000,0.05163100372681211
2016-10-31,117176000000,5119000000.0,87484000000,0.04368642042739127
2017-01-31,129750000000,,97743000000,
2017-04-30,116526000000,5237000000.0,87688000000,0.04494275955580729
2017-07-31,121949000000,5969000000.0,91521000000,0.0489466908297731
2017-10-31,122136000000,4764000000.0,91547000000,0.0390056985655335
2018-01-31,135150000000,,102640000000,
2018-04-30,121630000000,5154000000.0,91707000000,0.042374414207021295
2018-07-31,127059000000,5750000000.0,95571000000,0.04525456677606466
