period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin,price_at_period_end,shares_outstanding,market_cap,KBrand,Opex_Ratio,Selected_Margin,Benchmark_Margin,s_baseline_value,S_Surplus,s_total,V_Prod_base,K_Pi_prime,E_star,E_0,E_1,E_2,E_3,K_Pi_prime_lag,R_t,T_t,dK_Pi_prime,dK_Pi_prime_pct,PDI_t,PGR_t,Gate_C1,Gate_C2,Gate_C3,Speculative_Regime,Ticker,Raw_Configuration,Configuration,Regime,Phase
2008-08-31,9801000000,339000000,7420000000.0,0.03458830731558,25.468725204467773,,,1029105000.0,0,0.03458830731558,,338999999.9999996,0.0,338999999.9999996,9462000000.0,,,0.0358275206087507,0.0,0.1087618896639188,,,0.0,inf,,,0.0,,False,False,False,False,BBY,N/A,Normal,Normal_Regime,Normal_Production
2008-11-30,11500000000,274000000,8639000000.0,0.0238260869565217,11.829636573791504,,,1207500000.0,0,0.0238260869565217,,273999999.9999995,0.0,273999999.9999995,11226000000.0,,,0.024407625155888,0.0,0.1075628006413682,,,0.0,inf,,,0.0,0.1864299302473049,False,False,False,False,BBY,N/A,Normal,Normal_Regime,Normal_Production
2009-05-31,10095000000,296000000,7538000000.0,0.029321446260525,20.218555450439453,,,1059975000.0,0,0.029321446260525,,295999999.9999999,0.0,295999999.9999999,9799000000.0,,,0.0302071639963261,0.0,0.1081717522196142,,,0.0,inf,,,0.0,-0.1271156244432567,False,False,False,False,BBY,N/A,Normal,Normal_Regime,Normal_Production
2009-08-31,11022000000,280000000,8338000000.0,0.0254037379785882,20.98467445373535,,,1157310000.0,0,0.0254037379785882,,279999999.9999991,0.0,279999999.9999991,10742000000.0,,,0.0260659095140568,0.0,0.1077369204989759,,,0.0,inf,,,0.0,0.096234309623431,False,False,False,False,BBY,N/A,Normal,Normal_Regime,Normal_Production
2009-11-30,12024000000,376000000,9082000000.0,0.0312707917498336,24.86733627319336,,,1262520000.0,0,0.0312707917498336,,375999999.9999992,0.0,375999999.9999992,11648000000.0,,,0.0322802197802197,0.0,0.108389423076923,,,0.0,inf,,,0.0,0.08434183578477,False,False,False,False,BBY,N/A,Normal,Normal_Regime,Normal_Production
2010-02-28,16553000000,1283000000,,0.0775086087114118,21.265899658203125,,,1738065000.0,0,0.0775086087114118,,1282999999.9999995,0.0,1282999999.9999995,15270000000.0,,,0.0840209561231171,0.0,0.1138222003929273,,,0.0,inf,,,0.0,0.3109546703296704,False,False,False,False,BBY,N/A,Normal,Normal_Regime,Normal_Production
2010-05-31,10787000000,348000000,7994000000.0,0.0322610549735793,24.69242477416992,,,1132635000.0,0,0.0322610549735793,,347999999.9999999,0.0,347999999.9999999,10439000000.0,,,0.0333365264872114,0.0,0.1085003352811572,,,0.0,inf,,,0.0,-0.3163719711853306,False,False,False,False,BBY,N/A,Normal,Normal_Regime,Normal_Production
2010-08-31,11339000000,456000000,8421000000.0,0.0402151865243848,18.4216251373291,,,1190595000.0,0,0.0402151865243848,,455999999.9999992,0.0,455999999.9999992,10883000000.0,,,0.0419002113387851,0.0,0.1093995221905724,,,0.0,inf,,,0.0,0.0425328096560972,False,False,False,False,BBY,N/A,Normal,Normal_Regime,Normal_Production
2010-11-30,11890000000,433000000,8907000000.0,0.036417157275021,25.16321563720703,,,1248450000.0,0,0.036417157275021,,432999999.9999997,0.0,432999999.9999997,11457000000.0,,,0.0377934886968665,0.0,0.1089683163131709,,,0.0,inf,,,0.0,0.0527428098869797,False,False,False,False,BBY,N/A,Normal,Normal_Regime,Normal_Production
2011-02-28,16256000000,1137000000,,0.069943405511811,19.073638916015625,,,1706880000.0,0,0.069943405511811,,1136999999.9999995,0.0,1136999999.9999995,15119000000.0,,,0.0752033864673589,0.0,0.1128963555790727,,,0.0,inf,,,0.0,0.3196299205725756,False,False,False,False,BBY,N/A,Normal,Normal_Regime,Normal_Production
