period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin,price_at_period_end,shares_outstanding,market_cap,KBrand,Opex_Ratio,Selected_Margin,Benchmark_Margin,s_baseline_value,S_Surplus,s_total,V_Prod_base,K_Pi_prime,E_star,E_0,E_1,E_2,E_3,K_Pi_prime_lag,R_t,T_t,dK_Pi_prime,dK_Pi_prime_pct,PDI_t,PGR_t,Gate_C1,Gate_C2,Gate_C3,Speculative_Regime,Ticker,Raw_Configuration,Configuration,Regime,Phase
2009-03-31,2020586000,422764000.0,573386000.0,0.2092284119557395,4.688841819763184,,,333396690.0,0,0.2092284119557395,,422763999.9999998,0.0,422763999.9999998,1597822000.0000002,,,0.2645876699657407,0.0,0.2086569655443472,,,0.0,inf,,,0.0,,False,False,False,False,EBAY,N/A,Normal,Normal_Regime,Normal_Production
2009-06-30,2097992000,411689000.0,591773000.0,0.1962300142231238,6.394894123077393,,,346168680.0,0,0.1962300142231238,,411689000.0,0.0,411689000.0,1686303000.0,,,0.2441370263825658,0.0,0.2052826093531233,,,0.0,inf,,,0.0,0.055376005587606,False,False,False,False,EBAY,N/A,Normal,Normal_Regime,Normal_Production
2009-09-30,2237852000,442941000.0,643908000.0,0.1979313198549323,8.810245513916016,,,369245580.0,0,0.1979313198549323,,442941000.0,0.0,442941000.0,1794911000.0,,,0.2467760239922759,0.0,0.2057180439587255,,,0.0,inf,,,0.0,0.0644059816059154,False,False,False,False,EBAY,N/A,Normal,Normal_Regime,Normal_Production
2009-12-31,2370932000,,,,8.784111976623535,,,391203780.0,0,,,,0.0,,,,,,,,,,0.0,inf,,,0.0,,False,False,False,False,EBAY,N/A,Normal,Normal_Regime,Normal_Production
2010-03-31,2196057000,488609000.0,606555000.0,0.22249376951509,10.068320274353027,,,362349405.0,0,0.22249376951509,,488609000.0,0.0,488609000.0,1707448000.0,,,0.2861633267894542,0.0,0.2122169489202599,,,0.0,inf,,,0.0,,False,False,False,False,EBAY,N/A,Normal,Normal_Regime,Normal_Production
2010-06-30,2215379000,484565000.0,615371000.0,0.2187278113586885,7.320716381072998,,,365537535.0,0,0.2187278113586885,,484565000.0,0.0,484565000.0,1730814000.0,,,0.2799636471625489,0.0,0.2111940017818205,,,0.0,inf,,,0.0,0.0136847505751274,False,False,False,False,EBAY,N/A,Normal,Normal_Regime,Normal_Production
2010-09-30,2249488000,490176000.0,640268000.0,0.2179055856265959,9.108898162841797,,,371165520.0,0,0.2179055856265959,,490176000.0,0.0,490176000.0,1759312000.0,,,0.2786180052202224,0.0,0.2109719708613367,,,0.0,inf,,,0.0,0.0164650852142402,False,False,False,False,EBAY,N/A,Normal,Normal_Regime,Normal_Production
2010-12-31,2495350000,,,,10.38936996459961,,,411732750.0,0,,,,0.0,,,,,,,,,,0.0,inf,,,0.0,,False,False,False,False,EBAY,N/A,Normal,Normal_Regime,Normal_Production
2011-03-31,2546000000,565000000.0,729000000.0,0.2219167321288295,11.587716102600098,,,420090000.0,0,0.2219167321288295,,564999999.9999999,0.0,564999999.9999999,1981000000.0,,,0.2852094901564865,0.0,0.2120595658758202,,,0.0,inf,,,0.0,,False,False,False,False,EBAY,N/A,Normal,Normal_Regime,Normal_Production
2011-06-30,2760274000,519000000.0,773462000.0,0.1880248120295304,12.046892166137695,,,455445210.0,0,0.1880248120295304,,519000000.0,0.0,519000000.0,2241274000.0,,,0.2315647261334401,0.0,0.2032081798120176,,,0.0,inf,,,0.0,0.1313851590106007,False,False,False,False,EBAY,N/A,Normal,Normal_Regime,Normal_Production
2011-09-30,2966000000,537000000.0,920000000.0,0.1810519217801753,11.009075164794922,,,489390000.0,0,0.1810519217801753,,536999999.9999999,0.0,536999999.9999999,2429000000.0,,,0.2210786331823795,0.0,0.2014779744750926,,,0.0,inf,,,0.0,0.0837586122892604,False,False,False,False,EBAY,N/A,Normal,Normal_Regime,Normal_Production
