period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin,price_at_period_end,shares_outstanding,market_cap,KBrand,Opex_Ratio,Selected_Margin,Benchmark_Margin,s_baseline_value,S_Surplus,s_total,V_Prod_base,K_Pi_prime,E_star,E_0,E_1,E_2,E_3,K_Pi_prime_lag,R_t,T_t,dK_Pi_prime,dK_Pi_prime_pct,PDI_t,PGR_t,Gate_C1,Gate_C2,Gate_C3,Speculative_Regime
2017-05-31,5609625000,473795000,3910642000.0,0.0844610825144283,65.37483978271484,,,589010625.0,0,0.0844610825144283,,473794999.9999998,0.0,473794999.9999998,5135830000.0,,,0.09225285883683841,0.0,0.11468655017786804,,,,inf,,,,,False,False,False,False
2017-08-31,5828305000,493146000,4037783000.0,0.0846122500452532,64.87635040283203,271564000.0,17618081220.79,611972025.0,0,0.0846122500452532,,493145999.99999946,0.0,493145999.99999946,5335159000.000001,11177804195.79,2.3022598240820935,0.09243323394860385,0.0,0.1147054895646034,2.0951211005688863,,,inf,,,,0.03881144819824667,True,True,False,False
2017-11-30,5903606000,417431000,4137150000.0,0.0707078012997479,79.0049819946289,271564000.0,21454908930.39,619878630.0,0,0.0707078012997479,,417430999.99999946,0.0,417430999.99999946,5486175000.000001,14931424300.39,2.9107226675033147,0.07608780252179331,0.0,0.11298921926478829,2.7216456457167326,11177804195.79,0.03734463340816261,26.77760922353638,3753620104.5999985,0.33581015008419624,0.10007813127478593,0.028305810567220258,True,True,True,True
2018-02-28,6129431000,623446000,,0.1017135195746554,85.0753402709961,,,643590255.0,0,0.1017135195746554,,623445999.9999996,0.0,623445999.9999996,5505985000.000001,,,0.1132306026986996,0.0,0.11688921328336345,,14931424300.39,0.04175395377276337,23.949827732297596,,,,0.003610894657935626,False,False,True,False
2018-05-31,6114463000,490184000,,0.0801679558777279,78.9215316772461,,,642018615.0,0,0.0801679558777279,,490183999.99999976,0.0,490183999.99999976,5624279000.0,,,0.08715499355561837,0.0,0.11415127432333994,,,,inf,,,,0.021484620826246248,False,False,False,False
2018-08-31,6443309000,545476000,,0.084657743404825,97.47698974609376,,,676547445.0,0,0.084657743404825,,545475999.9999995,0.0,545475999.9999995,5897833000.0,,,0.09248752889408696,0.0,0.11471119053387914,,,,inf,,,,0.048638056540224905,False,False,False,False
2018-11-30,6417462000,442143000,,0.0688968629654527,100.70632934570312,265534000.0,26740954456.48,673833510.0,0,0.0688968629654527,,442143000.0,0.0,442143000.0,5975319000.0,19649658946.48,3.475234620357507,0.07399487793036656,0.0,0.11276946218268849,3.2884702802444523,,,inf,,,,0.01313804578732558,True,True,False,False
2019-02-28,6649809000,638503000,,0.0960182465391111,107.77153778076172,262884000.0,28331412937.96,698229945.0,0,0.0960182465391111,,638502999.9999999,0.0,638502999.9999999,6011306000.0,20983373992.96,3.7130212532784057,0.10621701839833139,0.0,0.11615278693182479,3.4906514479482493,19649658946.48,0.03249435533405937,30.774575759988604,1333715046.4799995,0.06787471732271051,0.3237486854658872,0.006022607328579399,True,True,True,True
2019-05-31,6623185000,512237000,,0.0773399806890491,116.09878540039062,259178000.0,30090251002.5,695434425.0,0,0.0773399806890491,,512236999.99999964,0.0,512236999.99999964,6110948000.0,22771631577.5,3.9239906807421696,0.08382283730773027,0.0,0.11380139791731168,3.7263664455171277,20983373992.96,0.02441156508823877,40.964190390307635,1788257584.540001,0.08522259504786828,0.2226638582165691,0.016575765732105507,True,True,True,True
2019-08-31,6981753000,577775000,,0.0827550043663819,142.70425415039062,233399008.0,33307031356.08,733084065.0,0,0.0827550043663819,,577775000.0,0.0,577775000.0,6403978000.0,25592194291.08,4.2009909084759505,0.09022126559460385,0.0,0.1144732328874334,3.9962964099939136,22771631577.5,0.02537257807081698,39.41262875254208,2820562713.580002,0.12386300489627276,0.170016946135509,0.04795164350932124,True,True,True,True
