period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin,price_at_period_end,shares_outstanding,market_cap,KBrand,Opex_Ratio,Selected_Margin,Benchmark_Margin,s_baseline_value,S_Surplus,s_total,V_Prod_base,K_Pi_prime,E_star,E_0,E_1,E_2,E_3,K_Pi_prime_lag,R_t,T_t,dK_Pi_prime,dK_Pi_prime_pct,PDI_t,PGR_t,Gate_C1,Gate_C2,Gate_C3,Speculative_Regime
2008-08-31,3725000000,406000000.0,,0.108993288590604,25.328462600708008,,,391125000.0,0,0.108993288590604,,405999999.99999994,0.0,405999999.99999994,3319000000.0,,,0.12232600180777341,0.0,0.11784423018981621,,,,inf,,,,,False,False,False,False
2008-11-30,3804000000,285000000.0,,0.0749211356466877,16.823823928833008,,,399420000.0,0,0.0749211356466877,,285000000.0,0.0,285000000.0,3519000000.0,,,0.08098891730605286,0.0,0.11350383631713555,,,,inf,,,,0.06025911419102137,False,False,False,False
2009-05-31,3638000000,251000000.0,,0.0689939527212754,21.877159118652344,,,381990000.0,0,0.0689939527212754,,250999999.9999999,0.0,250999999.9999999,3387000000.0,,,0.07410687924416885,0.0,0.11278122232063774,,,,inf,,,,-0.037510656436487655,False,False,False,False
2009-08-31,3806000000,399000000.0,,0.104834471886495,26.57504653930664,,,399630000.0,0,0.104834471886495,,399000000.0,0.0,399000000.0,3407000000.0,,,0.11711182858820077,0.0,0.11729674200176109,,,,inf,,,,0.005904930617065318,False,False,False,False
2009-10-31,4051000000,339000000.0,,0.083683041224389,29.475181579589844,,,425355000.0,0,0.083683041224389,,338999999.9999998,0.0,338999999.9999998,3712000000.0000005,,,0.09132543103448269,0.0,0.11458917025862067,,,,inf,,,,0.08952157323158216,False,False,False,False
2010-01-31,5682000000,,,,25.94659996032715,,,596610000.0,0,,,,0.0,,,,,,,,,,,inf,,,,,False,False,False,False
2010-05-31,4035000000,388000000.0,,0.0961586121437422,26.14235496520996,,,423675000.0,0,0.0961586121437422,,387999999.99999976,0.0,387999999.99999976,3647000000.0,,,0.10638881272278579,0.0,0.11617082533589251,,,,inf,,,,,False,False,False,False
2010-07-31,4100000000,488000000.0,,0.1190243902439024,24.56608390808105,,,430500000.0,0,0.1190243902439024,,487999999.9999999,0.0,487999999.9999999,3612000000.0,,,0.1351052048726467,0.0,0.11918604651162791,,,,inf,,,,-0.009596928982725572,False,False,False,False
2010-10-31,4218000000,356000000.0,,0.0844001896633475,26.384462356567383,,,442890000.0,0,0.0844001896633475,,355999999.99999976,0.0,355999999.99999976,3862000000.0,,,0.09218021750388393,0.0,0.11467892283790782,,,,inf,,,,0.0692137320044297,False,False,False,False
2011-01-31,6038000000,,,,26.15780258178711,,,633990000.0,0,,,,0.0,,,,,,,,,,,inf,,,,,False,False,False,False
2011-04-30,4162000000,391000000.0,,0.0939452186448822,27.27808952331543,,,437010000.0,0,0.0939452186448822,,390999999.9999997,0.0,390999999.9999997,3771000000.0000005,,,0.10368602492707496,0.0,0.11588703261734286,,,,inf,,,,,False,False,False,False
2011-07-31,4248000000,547000000.0,,0.1287664783427495,28.453514099121094,,,446040000.0,0,0.1287664783427495,,546999999.9999999,0.0,546999999.9999999,3701000000.0,,,0.14779789246149685,0.0,0.12051877870845717,,,,inf,,,,-0.01856271546009025,False,False,False,False
2011-10-31,4376000000,415000000.0,,0.094835466179159,27.7220516204834,,,459480000.0,0,0.094835466179159,,414999999.99999976,0.0,414999999.99999976,3961000000.0,,,0.10477152234284266,0.0,0.11600100984599848,,,,inf,,,,0.0702512834369089,False,False,False,False
2012-01-31,6018000000,,,,24.170515060424805,,,631890000.0,0,,,,0.0,,,,,,,,,,,inf,,,,,False,False,False,False
2012-04-30,4243000000,321000000.0,,0.0756540183832194,26.52167701721192,,,445515000.0,0,0.0756540183832194,,320999999.99999994,0.0,320999999.99999994,3922000000.0,,,0.08184599694033655,0.0,0.11359382967873534,,,,inf,,,,,False,False,False,False
2012-07-31,4205000000,457000000.0,,0.108680142687277,26.49443817138672,,,441525000.0,0,0.108680142687277,,456999999.9999998,0.0,456999999.9999998,3748000000.0000005,,,0.12193169690501594,0.0,0.11780282817502667,,,,inf,,,,-0.04436511983681779,False,False,False,False
2012-10-31,4490000000,425000000.0,,0.0946547884187082,28.564680099487305,,,471450000.0,0,0.0946547884187082,,424999999.9999998,0.0,424999999.9999998,4065000000.0,,,0.10455104551045506,0.0,0.11597785977859779,,,,inf,,,,0.08457844183564545,False,False,False,False
2013-02-28,6342000000,,,,24.89373016357422,,,665910000.0,0,,,,0.0,,,,,,,,,,,inf,,,,,False,False,False,False
2013-05-31,4199000000,317000000.0,,0.075494165277447,27.970903396606445,,,440895000.0,0,0.075494165277447,,316999999.99999994,0.0,316999999.99999994,3882000000.0,,,0.08165893869139618,0.0,0.1135741885625966,,,,inf,,,,,False,False,False,False
2013-08-31,4289000000,451000000.0,,0.1051527162508743,28.10581970214844,,,450345000.0,0,0.1051527162508743,,450999999.9999999,0.0,450999999.9999999,3838000000.0,,,0.1175091193329859,0.0,0.11733845752996352,,,,inf,,,,-0.011334363730036046,False,False,False,False
