period_end,Revenue,OperatingIncome,Operating_Margin,price_at_period_end,shares_outstanding,market_cap,KBrand,Opex_Ratio,Selected_Margin,Benchmark_Margin,s_baseline_value,S_Surplus,s_total,V_Prod_base,K_Pi_prime,E_star,E_0,E_1,E_2,E_3,K_Pi_prime_lag,R_t,T_t,dK_Pi_prime,dK_Pi_prime_pct,PDI_t,PGR_t,Gate_C1,Gate_C2,Gate_C3,Speculative_Regime
2008-08-31,5718000000,259000000.0,0.0452955578873732,11.460718154907228,,,600390000.0,0,0.0452955578873732,,258999999.99999997,0.0,258999999.99999997,5459000000.0,,,0.04744458692068144,0.0,0.10998168162667155,,,,inf,,,,,False,False,False,False
2008-11-30,5493000000,68000000.0,0.0123793919533952,4.10944414138794,,,576765000.0,0,0.0123793919533952,,67999999.99999984,0.0,67999999.99999984,5425000000.0,,,0.012534562211981537,0.0,0.10631612903225807,,,,inf,,,,-0.006228246931672454,False,False,False,False
2009-05-31,5199000000,-114000000.0,-0.0219272937103289,6.612506866455078,,,545895000.0,0,-0.0219272937103289,,0.0,0.0,0.0,5199000000.0,,,0.0,0.0,0.105,,,,inf,,,,-0.04165898617511521,False,False,False,False
2009-08-31,5164000000,248000000.0,0.0480247869868319,8.821404457092285,,,542220000.0,0,0.0480247869868319,,247999999.99999994,0.0,247999999.99999994,4916000000.0,,,0.050447518307567114,0.0,0.11029698942229454,,,,inf,,,,-0.0544335449124832,False,False,False,False
2009-10-31,5277000000,55000000.0,0.010422588592003,10.017464637756348,,,554085000.0,0,0.010422588592003,,54999999.999999836,0.0,54999999.999999836,5222000000.0,,,0.010532363079279938,0.0,0.1061058981233244,,,,inf,,,,0.06224572823433694,False,False,False,False
2010-01-31,7849000000,,,9.11077117919922,,,824145000.0,0,,,,0.0,,,,,,,,,,,inf,,,,,False,False,False,False
2010-05-31,5574000000,203000000.0,0.0364190886257624,12.732810020446776,,,585270000.0,0,0.0364190886257624,,202999999.99999964,0.0,202999999.99999964,5371000000.000001,,,0.03779556879538254,0.0,0.10896853472351516,,,,inf,,,,,False,False,False,False
2010-07-31,5537000000,370000000.0,0.0668231894527722,10.717012405395508,,,581385000.0,0,0.0668231894527722,,369999999.99999964,0.0,369999999.99999964,5167000000.0,,,0.07160828333655886,0.0,0.11251886975033869,,,,inf,,,,-0.03798175386334035,False,False,False,False
2010-10-31,5623000000,177000000.0,0.0314778587942379,13.634467124938965,,,590415000.0,0,0.0314778587942379,,176999999.99999973,0.0,176999999.99999973,5446000000.0,,,0.03250091810503117,0.0,0.10841259640102828,,,,inf,,,,0.05399651635378366,False,False,False,False
2011-01-31,8269000000,,,13.361148834228516,,,868245000.0,0,,,,0.0,,,,,,,,,,,inf,,,,,False,False,False,False
