period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin,price_at_period_end,shares_outstanding,market_cap,KBrand,Opex_Ratio,Selected_Margin,Benchmark_Margin,s_baseline_value,S_Surplus,s_total,V_Prod_base,K_Pi_prime,E_star,E_0,E_1,E_2,E_3,K_Pi_prime_lag,R_t,T_t,dK_Pi_prime,dK_Pi_prime_pct,PDI_t,PGR_t,Gate_C1,Gate_C2,Gate_C3,Speculative_Regime
2008-06-30,337614000,34201000.0,230087000.0,0.1013020787052669,0.3724290132522583,,,55706310.0,0,0.1013020787052669,,34200999.99999998,0.0,34200999.99999998,303413000.00000006,,,0.11272094471891439,0.0,0.18359895587862085,,,,inf,,,,,False,False,False,False
2008-09-30,341269000,34074000.0,224496000.0,0.0998449903155575,0.4411430060863495,,,56309385.0,0,0.0998449903155575,,34073999.99999999,0.0,34073999.99999999,307195000.0,,,0.11091977408486464,0.0,0.18330176272400267,,,,inf,,,,0.012464858130666556,False,False,False,False
2009-03-31,394098000,36471000.0,259268000.0,0.0925429715451486,0.6131430268287659,,,65026170.0,0,0.0925429715451486,,36470999.99999997,0.0,36470999.99999997,357627000.00000006,,,0.10198055515942578,0.0,0.18182679160130524,,,,inf,,,,0.1641693386936638,False,False,False,False
2009-06-30,408509000,52782000.0,269243000.0,0.1292064556717232,0.5905709862709045,,,67403985.0,0,0.1292064556717232,,52781999.99999997,0.0,52781999.99999997,355727000.00000006,,,0.14837782906554733,0.0,0.1894823417958153,,,,inf,,,,-0.0053127979710704265,False,False,False,False
2009-09-30,423120000,49337000.0,275274000.0,0.1166028549820381,0.6595709919929504,,,69814800.0,0,0.1166028549820381,,49336999.999999955,0.0,49336999.999999955,373783000.0,,,0.1319936968776,0.0,0.186778959984804,,,,inf,,,,0.05075802511476479,False,False,False,False
2010-03-31,493665000,58345000.0,307162000.0,0.118187434798902,1.0534290075302124,,,81454725.0,0,0.118187434798902,,58344999.999999955,0.0,58344999.999999955,435320000.0,,,0.13402784158779738,0.0,0.1871145938619866,,,,inf,,,,0.1646329554848669,False,False,False,False
2010-06-30,519819000,77342000.0,314934000.0,0.1487864044984889,1.5521429777145386,,,85770135.0,0,0.1487864044984889,,77342000.0,0.0,77342000.0,442477000.0,,,0.17479326609066687,0.0,0.19384088890496004,,,,inf,,,,0.01644077919691256,False,False,False,False
2010-09-30,553219000,69501000.0,344469000.0,0.1256301753916622,2.316570997238159,,,91281135.0,0,0.1256301753916622,,69500999.99999999,0.0,69500999.99999999,483718000.0,,,0.14368082229728887,0.0,0.18870733567905268,,,,inf,,,,0.09320484454559219,False,False,False,False
2010-12-31,595922000,,,,2.509999990463257,,,98327130.0,0,,,,0.0,,,,,,,,,,,inf,,,,,False,False,False,False
2011-03-31,718553000,102240000.0,438151000.0,0.1422859552461683,3.396857023239136,,,118561245.0,0,0.1422859552461683,,102239999.99999997,0.0,102239999.99999997,616313000.0,,,0.16588973459914033,0.0,0.19237180620885816,,,,inf,,,,,False,False,False,False
2011-06-30,788610000,115114000.0,489978000.0,0.1459707586766589,3.752713918685913,,,130120650.0,0,0.1459707586766589,,115113999.99999997,0.0,115113999.99999997,673496000.0,,,0.17092009455141527,0.0,0.1932018156009835,,,,inf,,,,0.09278240115006509,False,False,False,False
2011-09-30,821839000,96842000.0,536617000.0,0.1178357318160856,1.6181429624557495,,,135603435.0,0,0.1178357318160856,,96841999.99999997,0.0,96841999.99999997,724997000.0,,,0.13357572514093158,0.0,0.18703999464825372,,,,inf,,,,0.07646816016724678,False,False,False,False
2011-12-31,875575000,61872000.0,575155000.0,0.0706644205236558,0.989857017993927,,,144469875.0,0,0.0706644205236558,,61871999.99999993,0.0,61871999.99999993,813703000.0,,,0.07603757144805898,0.0,0.17754619928892976,,,,inf,,,,0.12235360973907472,False,False,False,False
2012-03-31,869791000,-1935000.0,623933000.0,-0.0022246723638207,1.6434290409088137,,,143515515.0,0,-0.0022246723638207,,0.0,0.0,0.0,869791000.0,,,0.0,0.0,0.165,,,,inf,,,,0.0689293267936828,False,False,False,False
2012-06-30,889163000,16154000.0,643428000.0,0.0181676475516862,0.9784290194511414,,,146711895.0,0,0.0181676475516862,,16153999.999999955,0.0,16153999.999999955,873009000.0,,,0.018503818402788464,0.0,0.1680531300364601,,,,inf,,,,0.0036997393626745367,False,False,False,False
2012-09-30,905089000,16135000.0,662638000.0,0.017826976131629,0.7777140140533447,,,149339685.0,0,0.017826976131629,,16134999.99999996,0.0,16134999.99999996,888954000.0,,,0.01815054547254409,0.0,0.16799484000296977,,,,inf,,,,0.01826441651804278,False,False,False,False
2012-12-31,945239000,,,,1.3227139711380005,,,155964435.0,0,,,,0.0,,,,,,,,,,,inf,,,,,False,False,False,False
2013-03-31,1023961000,31822000.0,736952000.0,0.0310773554852186,2.7039999961853027,,,168953565.0,0,0.0310773554852186,,31821999.99999992,0.0,31821999.99999992,992139000.0000001,,,0.03207413477345404,0.0,0.1702922322376199,,,,inf,,,,,False,False,False,False
2013-06-30,1069372000,57117000.0,760674000.0,0.0534117220200267,3.015571117401123,,,176446380.0,0,0.0534117220200267,,57116999.99999999,0.0,57116999.99999999,1012255000.0,,,0.056425505430943775,0.0,0.17431020839610573,,,,inf,,,,0.020275384799911977,False,False,False,False
2013-09-30,1105999000,57120000.0,798900000.0,0.0516456163161087,4.417285919189453,,,182489835.0,0,0.0516456163161087,,57119999.9999999,0.0,57119999.9999999,1048879000.0,,,0.05445814054814702,0.0,0.17398559319044427,,,,inf,,,,0.03618060666531653,False,False,False,False
2013-12-31,1175230000,,,,5.259571075439453,,,193912950.0,0,,,,0.0,,,,,,,,,,,inf,,,,,False,False,False,False
2014-03-31,1270089000,97595000.0,869186000.0,0.0768410717674115,5.02899980545044,,,209564685.0,0,0.0768410717674115,,97594999.99999991,0.0,97594999.99999991,1172494000.0,,,0.08323709972076608,0.0,0.17873412145392642,,,,inf,,,,,False,False,False,False
2014-06-30,1340407000,129600000.0,914848000.0,0.0966870510225625,6.294285774230957,,,221167155.0,0,0.0966870510225625,,129599999.99999994,0.0,129599999.99999994,1210807000.0,,,0.10703605116257169,0.0,0.18266094844182434,,,,inf,,,,0.032676499837099415,False,False,False,False
2014-09-30,1409432000,110407000.0,954394000.0,0.0783343928618053,6.445428848266602,,,232556280.0,0,0.0783343928618053,,110406999.99999996,0.0,110406999.99999996,1299025000.0,,,0.08499220569273105,0.0,0.17902371393930064,,,,inf,,,,0.0728588453816339,False,False,False,False
2014-12-31,1484728000,,,,4.880143165588379,,,244980120.0,0,,,,0.0,,,,,,,,,,,inf,,,,,False,False,False,False
