period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin,price_at_period_end,shares_outstanding,market_cap,KBrand,Opex_Ratio,Selected_Margin,Benchmark_Margin,s_baseline_value,S_Surplus,s_total,V_Prod_base,K_Pi_prime,E_star,E_0,E_1,E_2,E_3,K_Pi_prime_lag,R_t,T_t,dK_Pi_prime,dK_Pi_prime_pct,PDI_t,PGR_t,Gate_C1,Gate_C2,Gate_C3,Speculative_Regime
2011-10-31,57113000,6900000,10310000,0.1208131248577381,,,,11137035.0,0,0.1208131248577381,,6899999.999999996,0.0,6899999.999999996,50213000.00000001,,,0.1374146137454443,0.0,0.22179584968036162,,,,inf,,,,,False,False,False,False
2012-01-31,56683000,1276000,10248000,0.0225111585484183,,,,11053185.0,0,0.0225111585484183,,1275999.9999999944,0.0,1275999.9999999944,55407000.0,,,0.02302958109986093,0.0,0.1994907683144729,,,,inf,,,,0.1034393483759184,False,False,False,False
2012-04-30,65700000,-41000,11524000,-0.0006240487062404,,,,12811500.0,0,-0.0006240487062404,,0.0,0.0,0.0,65700000.0,,,0.0,0.0,0.195,,,,inf,,,,0.18577075098814233,False,False,False,False
2012-07-31,75642000,-4244000,12533000,-0.0561063959176119,9.523332595825195,,,14750190.0,0,-0.0561063959176119,,0.0,0.0,0.0,75642000.0,,,0.0,0.0,0.195,,,,inf,,,,0.15132420091324206,False,False,False,False
2012-10-31,85934000,-3131000,14416000,-0.0364349384411292,9.16333293914795,,,16757130.0,0,-0.0364349384411292,,0.0,0.0,0.0,85934000.0,,,0.0,0.0,0.195,,,,inf,,,,0.13606197615081572,False,False,False,False
2013-01-31,96499000,-2157000,16636000,-0.0223525632389972,9.226667404174805,,,18817305.0,0,-0.0223525632389972,,0.0,0.0,0.0,96499000.0,,,0.0,0.0,0.195,,,,inf,,,,0.1229431889589685,False,False,False,False
2013-04-30,101289000,-6450000,15855000,-0.0636791754287237,9.016667366027832,,,19751355.0,0,-0.0636791754287237,,0.0,0.0,0.0,101289000.0,,,0.0,0.0,0.195,,,,inf,,,,0.04963782008103701,False,False,False,False
2013-07-31,112385000,-6883000,16505000,-0.0612448280464474,8.15666675567627,,,21915075.0,0,-0.0612448280464474,,0.0,0.0,0.0,112385000.0,,,0.0,0.0,0.195,,,,inf,,,,0.10954792721815787,False,False,False,False
2013-10-31,128180000,-7011000,17954000,-0.0546965205180215,7.02666711807251,,,24995100.0,0,-0.0546965205180215,,0.0,0.0,0.0,128180000.0,,,0.0,0.0,0.195,,,,inf,,,,0.1405436668594564,False,False,False,False
2014-01-31,141068000,-37156000,20221000,-0.2633907051918224,9.908332824707031,,,27508260.0,0,-0.2633907051918224,,0.0,0.0,0.0,141068000.0,,,0.0,0.0,0.195,,,,inf,,,,0.1005461070369793,False,False,False,False
