period_end,Revenue,OperatingIncome,Operating_Margin,price_at_period_end,shares_outstanding,market_cap,KBrand,Opex_Ratio,Selected_Margin,Benchmark_Margin,s_baseline_value,S_Surplus,s_total,V_Prod_base,K_Pi_prime,E_star,E_0,E_1,E_2,E_3,K_Pi_prime_lag,R_t,T_t,dK_Pi_prime,dK_Pi_prime_pct,PDI_t,PGR_t,Gate_C1,Gate_C2,Gate_C3,Speculative_Regime
2008-08-31,14971000000,,,33.05107879638672,,,1571955000.0,0,,,,0.0,,,,,,,,,,,inf,,,,,False,False,False,False
2008-11-30,14588000000,,,21.15178680419922,,,1531740000.0,0,,,,0.0,,,,,,,,,,,inf,,,,,False,False,False,False
2009-05-31,14361000000,,,24.854990005493164,,,1507905000.0,0,,,,0.0,,,,,,,,,,,inf,,,,,False,False,False,False
2009-08-31,14567000000,,,29.84740829467773,,,1529535000.0,0,,,,0.0,,,,,,,,,,,inf,,,,,False,False,False,False
2009-10-31,14789000000,,,30.75551986694336,,,1552845000.0,0,,,,0.0,,,,,,,,,,,inf,,,,,False,False,False,False
2010-05-31,15158000000,,,34.97490692138672,,,1591590000.0,0,,,,0.0,,,,,,,,,,,inf,,,,,False,False,False,False
2010-07-31,15126000000,1245000000.0,0.0823086076953589,32.91604232788086,,,1588230000.0,0,0.0823086076953589,,1244999999.9999988,0.0,1244999999.9999988,13881000000.000002,,,0.08969094445645116,0.0,0.11441754916792737,,,,inf,,,,,False,False,False,False
2010-10-31,15226000000,947000000.0,0.062196243268094,33.4780387878418,,,1598730000.0,0,0.062196243268094,,946999999.9999992,0.0,946999999.9999992,14279000000.0,,,0.0663211709503466,0.0,0.1119637229497864,,,,inf,,,,0.028672285858367452,False,False,False,False
2011-01-31,20277000000,,,35.50581359863281,,,2129085000.0,0,,,,0.0,,,,,,,,,,,inf,,,,,False,False,False,False
2011-04-30,15580000000,1245000000.0,0.0799101412066752,31.94210433959961,,,1635900000.0,0,0.0799101412066752,,1244999999.9999995,0.0,1244999999.9999995,14335000000.0,,,0.0868503662364841,0.0,0.11411928845483084,,,,inf,,,,,False,False,False,False
2011-07-31,15895000000,1282000000.0,0.0806542938030827,33.660255432128906,,,1668975000.0,0,0.0806542938030827,,1281999999.9999995,0.0,1281999999.9999995,14613000000.0,,,0.08773010333264898,0.0,0.11421166084992815,,,,inf,,,,0.019393093826299168,False,False,False,False
2011-10-31,16054000000,1039000000.0,0.0647190731281923,36.0145378112793,,,1685670000.0,0,0.0647190731281923,,1038999999.9999993,0.0,1038999999.9999993,15015000000.0,,,0.06919746919746915,0.0,0.11226573426573426,,,,inf,,,,0.02750975159104896,False,False,False,False
2012-01-31,20937000000,,,33.6128044128418,,,2198385000.0,0,,,,0.0,,,,,,,,,,,inf,,,,,False,False,False,False
