period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin,price_at_period_end,shares_outstanding,market_cap,KBrand
2008-08-31,9801000000,339000000,7420000000.0,0.03458830731558,25.468725204467773,,,1029105000.0
2008-11-30,11500000000,274000000,8639000000.0,0.0238260869565217,11.829636573791504,,,1207500000.0
2009-05-31,10095000000,296000000,7538000000.0,0.029321446260525,20.218555450439453,,,1059975000.0
2009-08-31,11022000000,280000000,8338000000.0,0.0254037379785882,20.98467445373535,,,1157310000.0
2009-11-30,12024000000,376000000,9082000000.0,0.0312707917498336,24.86733627319336,,,1262520000.0
2010-02-28,16553000000,1283000000,,0.0775086087114118,21.265899658203125,,,1738065000.0
2010-05-31,10787000000,348000000,7994000000.0,0.0322610549735793,24.69242477416992,,,1132635000.0
2010-08-31,11339000000,456000000,8421000000.0,0.0402151865243848,18.4216251373291,,,1190595000.0
2010-11-30,11890000000,433000000,8907000000.0,0.036417157275021,25.16321563720703,,,1248450000.0
2011-02-28,16256000000,1137000000,,0.069943405511811,19.073638916015625,,,1706880000.0
2011-04-30,11369000000,460000000,8448000000.0,0.0404609024540416,18.561443328857425,,,1193745000.0
2011-05-31,10940000000,330000000,8172000000.0,0.0301645338208409,18.88249969482422,,,1148700000.0
2011-07-31,10856000000,260000000,8094000000.0,0.0239498894620486,16.487314224243164,,,1139880000.0
2011-08-31,11347000000,384000000,8475000000.0,0.0338415440204459,15.286603927612305,,,1191435000.0
2011-10-31,11145000000,381000000,8292000000.0,0.034185733512786,15.772425651550291,,,1170225000.0
2011-11-30,12099000000,351000000,9155000000.0,0.0290106620381849,16.28955841064453,,,1270395000.0
2012-03-31,16630000000,1231000000,,0.0740228502705953,14.33882999420166,,,1746150000.0
2012-05-31,11610000000,264000000,8703000000.0,0.0227390180878552,11.419045448303224,,,1219050000.0
2012-08-31,10547000000,88000000,7983000000.0,0.0083436048165355,10.909863471984863,,,1107435000.0
2012-11-30,10753000000,12000000,8167000000.0,0.0011159676369385,8.138325691223145,,,1129065000.0
2013-02-28,16711000000,-145000000,,-0.0086769193944108,10.328938484191896,,,1754655000.0
2013-05-31,9380000000,187000000,7210000000.0,0.0199360341151385,17.475021362304688,,,984900000.0
2013-08-31,9300000000,413000000,6831000000.0,0.0444086021505376,22.97599029541016,,,976500000.0
2013-11-30,9362000000,100000000,7192000000.0,0.010681478316599,25.997787475585938,,,983010000.0
2014-02-28,14470000000,469000000,,0.0324118866620594,17.14332389831543,,,1519350000.0
2014-05-31,9035000000,210000000,7015000000.0,0.0232429441062534,17.92354393005371,,,948675000.0
2014-08-31,8896000000,238000000,6841000000.0,0.0267535971223021,20.78654289245605,,,934080000.0
2014-11-30,9380000000,205000000,7252000000.0,0.0218550106609808,25.84099006652832,,,984900000.0
2015-01-31,14209000000,810000000,,0.0570061228798648,23.200990676879883,,,1491945000.0
2015-05-31,8558000000,86000000,6520000000.0,0.0100490768871231,23.28564071655273,,,898590000.0
2015-08-31,8528000000,288000000,6433000000.0,0.0337711069418386,24.82107925415039,,,895440000.0
2015-10-31,8819000000,230000000,6708000000.0,0.0260800544279396,23.81258773803711,,,925995000.0
2016-01-31,13623000000,771000000,,0.0565954635542831,19.12850570678711,342720000.0,6555721475.83,1430415000.0
2016-04-30,8443000000,372000000,6298000000.0,0.0440601681866635,22.46090507507324,323348000.0,7262688734.21,886515000.0
2016-07-31,8533000000,289000000,6471000000.0,0.0338685104886909,23.74603080749512,322753000.0,7664102681.21,895965000.0
2016-10-31,8945000000,312000000,6742000000.0,0.0348798211291224,27.70331382751465,313826000.0,8694020165.23,939225000.0
2017-01-31,13482000000,881000000,,0.0653463877762943,31.88825225830078,313826000.0,10007362653.21,1415610000.0
2017-04-30,8528000000,300000000,6506000000.0,0.0351782363977485,37.38775634765625,309111008.0,11556967051.48,895440000.0
2017-07-31,8940000000,321000000,6787000000.0,0.0359060402684563,42.35210418701172,299184992.0,12671113952.37,938700000.0
2017-10-31,9320000000,350000000,7040000000.0,0.0375536480686695,40.87598419189453,299184992.0,12229481003.44,978600000.0
2018-02-28,15363000000,872000000,,0.0567597474451604,53.18665313720703,,,1613115000.0
2018-05-31,9109000000,265000000,6984000000.0,0.0290921067076517,50.43433380126953,,,956445000.0
