period_end,Revenue,OperatingIncome,Operating_Margin,price_at_period_end,shares_outstanding,market_cap,KBrand
2016-03-31,200789000,91031000,0.4533664692786955,,,,21082845.0
2016-06-30,217528000,103136000,0.4741274686477143,,,,22840440.0
2016-09-30,212067000,71904000,0.3390626547270438,,,,22267035.0
2017-03-31,607165000,52190000,0.0859568651025668,,,,63752325.0
2017-06-30,679372000,105192000,0.1548371142761256,,,,71334060.0
2017-09-30,789853000,72589000,0.0919019108618945,,,,82934565.0
2018-03-31,666664000,-26299000,-0.0394486577946311,,,,69999720.0
2018-06-30,689599000,-41848000,-0.0606845427560074,,,,72407895.0
2018-09-30,674769000,-13946000,-0.0206678137258824,,,,70850745.0
2019-03-31,632903000,-30155000,-0.0476455317797514,,,,66454815.0
2019-06-30,573439000,-484646000,-0.8451570262922473,35.0,398600000.0,13951000000.0,60211095.0
2019-09-30,652495000,-565842000,-0.8671974497888872,24.57999992370605,398600000.0,9797587969.59,68511975.0
2020-03-31,507513000,-404057000,-0.7961510345547799,37.4900016784668,387838016.0,14540047870.81,53288865.0
2020-06-30,372366000,-2718993000,-1.0,44.68999862670898,401563008.0,17945850276.06,39098430.0
2020-09-30,316677000,-361230000,-1.0,54.83000183105469,412495008.0,22617102043.94,33251085.0
2021-03-31,315704000,-627599000,-1.0,84.70999908447266,412647008.0,34955327669.89,33148920.0
2021-06-30,237187000,-95083000,-0.4008777884116751,79.70999908447266,415416992.0,33112888051.99,24904635.0
2021-09-30,252174000,-51364000,-0.2036847573500836,68.11000061035156,417763008.0,28453838729.86,26478270.0
2022-03-31,257459000,-343684000,-1.0,40.77999877929688,420481984.0,17147254794.24,27033195.0
2022-06-30,416632000,-68081000,-0.1634079955452293,34.720001220703125,420607008.0,14603475831.2,43746360.0
2022-09-30,429852000,-120987000,-0.2814619915691912,30.71999931335449,422716000.0,12985835229.74,45134460.0
2023-03-31,250160000,-292344000,-1.0,37.380001068115234,448088992.0,16749566999.57,26266800.0
2023-06-30,424933000,-52516000,-0.1235865418783667,39.470001220703125,427428000.0,16870583681.76,44617965.0
2023-09-30,477080000,278777000,0.5843401525949526,18.26000022888184,430329984.0,7857825606.33,50093400.0
2023-12-31,350310000,111248000,0.317570152150952,23.6299991607666,431406016.0,10194123796.03,36782550.0
2024-03-31,74393000,-30766000,-0.4135604156305029,15.90999984741211,434915008.0,6919497710.92,7811265.0
2024-06-30,390336000,129928000,0.3328619445810789,27.239999771118164,435910016.0,11874188736.07,40985280.0
2024-09-30,76125000,48332000,0.6349031198686371,29.290000915527344,407903008.0,11947479477.77,7993125.0
2025-03-31,45447000,-14855000,-0.3268642594670715,32.5099983215332,413638016.0,13447371205.88,4771935.0
2025-06-30,-3207000,-25684000,1.0,42.619998931884766,412815008.0,17594175200.03,-336735.0
2025-09-30,3818000,-12804000,-1.0,40.45000076293945,411911862.0,16661835132.16,400890.0
