period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin,price_at_period_end,shares_outstanding,market_cap,KBrand
2008-10-31,481000000,-75000000,33000000.0,-0.1559251559251559,22.07794952392578,,,93795000.0
2009-01-31,773000000,111000000,56000000.0,0.1435963777490297,19.95472717285156,,,150735000.0
2009-04-30,1417000000,765000000,34000000.0,0.5398729710656316,20.37761116027832,,,276315000.0
2009-07-31,457000000,-118000000,,-0.2582056892778993,26.16580390930176,,,89115000.0
2009-10-31,515000000,-94000000,35000000.0,-0.1825242718446602,25.610774993896484,,,100425000.0
2010-01-31,857000000,139000000,48000000.0,0.1621936989498249,26.086519241333008,,,167115000.0
2010-04-30,1827000000,1067000000,34000000.0,0.5840175150519978,31.883508682250977,,,356265000.0
2010-07-31,537000000,-64000000,,-0.1191806331471136,35.01987838745117,,,104715000.0
2010-10-31,575000000,-80000000,32000000.0,-0.1391304347826087,42.27054977416992,,,112125000.0
2011-01-31,999000000,195000000,46000000.0,0.1951951951951951,41.345497131347656,,,194805000.0
2011-04-30,1926000000,1111000000,32000000.0,0.5768431983385255,48.94855117797852,,,375570000.0
2011-07-31,593000000,-58000000,,-0.0978077571669477,41.14284896850586,,,115635000.0
2011-10-31,594000000,-73000000,32000000.0,-0.1228956228956228,47.4351692199707,,,115830000.0
2012-01-31,1019000000,195000000,52000000.0,0.1913640824337585,50.02619934082031,,,198705000.0
2012-04-30,2091000000,1282000000,32000000.0,0.6131037780966045,51.51245880126953,,,407745000.0
2012-07-31,651000000,-45000000,,-0.0691244239631336,51.68628692626953,,,126945000.0
2012-10-31,647000000,-69000000,32000000.0,-0.106646058732612,53.09014892578125,,,126165000.0
2013-01-31,968000000,93000000,40000000.0,0.0960743801652892,55.87795639038086,,,188760000.0
2013-04-30,2178000000,1282000000,30000000.0,0.588613406795225,53.56481170654297,,,424710000.0
2013-07-31,634000000,-60000000,,-0.0946372239747634,57.56528091430664,,,123630000.0
2013-10-31,622000000,-77000000,29000000.0,-0.1237942122186495,64.49563598632812,,,121290000.0
2014-01-31,782000000,-46000000,45000000.0,-0.0588235294117647,66.32098388671875,,,152490000.0
2014-04-30,2388000000,1494000000,34000000.0,0.6256281407035176,68.75923919677734,,,465660000.0
2014-07-31,714000000,-55000000,,-0.0770308123249299,74.57963562011719,,,139230000.0
2014-10-31,672000000,-109000000,34000000.0,-0.1622023809523809,80.31855010986328,,,131040000.0
2015-01-31,808000000,-89000000,44000000.0,-0.1101485148514851,79.45813751220703,,,157560000.0
2015-04-30,2194000000,1066000000,35000000.0,0.4858705560619872,92.0589599609375,,,427830000.0
2015-07-31,696000000,-130000000,,-0.1867816091954023,97.28530883789062,,,135720000.0
2015-10-31,713000000,-29000000,29000000.0,-0.0406732117812061,89.91136932373047,,,139035000.0
2016-01-31,923000000,42000000,40000000.0,0.0455037919826652,88.41498565673828,264004000.0,23341909873.32,179985000.0
2016-04-30,2304000000,1285000000,30000000.0,0.5577256944444444,93.6626434326172,256821000.0,24054533749.01,449280000.0
2016-07-31,754000000,-56000000,,-0.0742705570291777,103.31036376953124,255871000.0,26434126088.07,147030000.0
2016-10-31,778000000,-61000000,29000000.0,-0.0784061696658097,101.53170776367188,257938000.0,26188885637.15,151710000.0
2017-01-31,1016000000,22000000,37000000.0,0.0216535433070866,111.04576873779295,256669000.0,28502006416.16,198120000.0
2017-04-30,2541000000,1444000000,29000000.0,0.568280204643841,117.59751892089844,255785000.0,30079681377.18,495495000.0
2017-07-31,842000000,-10000000,,-0.01187648456057,129.20083618164062,254974000.0,32942854004.58,164190000.0
2017-10-31,886000000,-35000000,24000000.0,-0.0395033860045146,142.59397888183594,256588000.0,36587903853.33,172770000.0
2018-01-31,1165000000,194000000,36000000.0,0.1665236051502145,158.90953063964844,,,227175000.0
2018-04-30,2925000000,1615000000,27000000.0,0.5521367521367522,175.30288696289062,,,570375000.0
