period_end,Revenue,OperatingIncome,Operating_Margin,price_at_period_end,shares_outstanding,market_cap,KBrand
2014-03-31,2172000000,1285000000,0.5916206261510129,69.42655181884766,,,358380000.0
2014-06-30,2368000000,1383000000,0.5840371621621622,68.38758850097656,,,390720000.0
2014-09-30,2490000000,1420000000,0.570281124497992,68.90526580810547,,,410850000.0
2014-12-31,2411000000,1018000000,0.4222314392368312,80.4336166381836,,,397815000.0
2015-03-31,2230000000,1351000000,0.6058295964125561,80.80393981933594,,,367950000.0
2015-06-30,2390000000,1251000000,0.5234309623430963,87.59595489501953,,,394350000.0
2015-09-30,2530000000,1369000000,0.5411067193675889,84.59064483642578,1131420000.0,95707547380.83,417450000.0
2015-12-31,2517000000,1107000000,0.4398092967818832,91.5423812866211,,,415305000.0
2016-03-31,2446000000,1348000000,0.5511038430089943,89.03137969970703,1110740000.0,98890714687.65,403590000.0
2016-06-30,2694000000,1380000000,0.512249443207127,83.13146209716797,1098700000.0,91336537406.16,444510000.0
2016-09-30,2880000000,1670000000,0.5798611111111112,96.28143310546876,1097740000.0,105691980377.2,475200000.0
2016-12-31,2756000000,1363000000,0.4945573294629898,97.86532592773438,1081000000.0,105792417327.88,454740000.0
2017-03-31,2734000000,1506000000,0.5508412582297001,106.82537841796876,1071880000.0,114503986618.65,451110000.0
2017-06-30,3053000000,1653000000,0.5414346544382574,115.5815658569336,1071880000.0,123889568810.73,503745000.0
2017-09-30,3398000000,1941000000,0.5712183637433784,134.6224822998047,1038449984.0,139798714590.27,560670000.0
2017-12-31,3312000000,1522000000,0.4595410628019323,144.532958984375,,,546480000.0
2018-03-31,3580000000,1825000000,0.5097765363128491,167.52284240722656,,,590700000.0
2018-06-30,3665000000,1936000000,0.5282401091405184,188.21913146972656,,,604725000.0
