period_end,Revenue,OperatingIncome,Operating_Margin,price_at_period_end,shares_outstanding,market_cap,KBrand
2008-08-31,14971000000,,,33.05107879638672,,,1571955000.0
2008-11-30,14588000000,,,21.15178680419922,,,1531740000.0
2009-05-31,14361000000,,,24.854990005493164,,,1507905000.0
2009-08-31,14567000000,,,29.84740829467773,,,1529535000.0
2009-10-31,14789000000,,,30.75551986694336,,,1552845000.0
2010-05-31,15158000000,,,34.97490692138672,,,1591590000.0
2010-07-31,15126000000,1245000000.0,0.0823086076953589,32.91604232788086,,,1588230000.0
2010-10-31,15226000000,947000000.0,0.062196243268094,33.4780387878418,,,1598730000.0
2011-01-31,20277000000,,,35.50581359863281,,,2129085000.0
2011-04-30,15580000000,1245000000.0,0.0799101412066752,31.94210433959961,,,1635900000.0
2011-07-31,15895000000,1282000000.0,0.0806542938030827,33.660255432128906,,,1668975000.0
2011-10-31,16054000000,1039000000.0,0.0647190731281923,36.0145378112793,,,1685670000.0
2012-01-31,20937000000,,,33.6128044128418,,,2198385000.0
2012-04-30,16537000000,1285000000.0,0.0777045413315595,38.55016326904297,,,1736385000.0
2012-07-31,16451000000,1255000000.0,0.0762871557960002,40.572845458984375,,,1727355000.0
2012-10-31,16601000000,1008000000.0,0.0607192337810975,42.89237976074219,,,1743105000.0
2013-02-28,22370000000,,,42.85076141357422,,,2348850000.0
2013-05-31,16706000000,1034000000.0,0.0618939303244343,47.5473518371582,,,1754130000.0
2013-08-31,17117000000,1161000000.0,0.0678273061868318,43.58583831787109,,,1797285000.0
2013-11-30,17258000000,739000000.0,0.0428207208251245,44.297454833984375,,,1812090000.0
2014-02-28,21516000000,,,43.66452026367188,,,2259180000.0
2014-05-31,17050000000,1053000000.0,0.0617595307917888,39.9217529296875,,,1790250000.0
2014-08-31,17406000000,1149000000.0,0.0660117200965184,42.63071823120117,,,1827630000.0
2014-11-30,17732000000,916000000.0,0.0516580193999548,52.92051315307617,,,1861860000.0
2015-01-31,21751000000,,,52.6416244506836,,,2283855000.0
2015-05-31,17119000000,1261000000.0,0.0736608446755067,57.49211120605469,,,1797495000.0
2015-08-31,17427000000,1350000000.0,0.07746600103288,56.72549057006836,,,1829835000.0
2015-10-31,17613000000,962000000.0,0.0546187475160392,56.3386116027832,,,1849365000.0
2016-01-31,21626000000,,,53.27899932861328,616052000.0,32822634094.39,2270730000.0
2016-04-30,16196000000,1323000000.0,0.0816868362558656,58.973052978515625,595969000.0,35146111410.55,1700580000.0
2016-07-31,16169000000,1241000000.0,0.0767518090172552,56.30652618408203,589275000.0,33180028217.12,1697745000.0
2016-10-31,16441000000,1057000000.0,0.0642904932789976,51.78310394287109,574865000.0,29768294048.12,1726305000.0
2017-01-31,20690000000,,,48.99302673339844,561695000.0,27519138151.02,2172450000.0
2017-04-30,16223000000,1178000000.0,0.0726129569130247,42.82674026489258,552675008.0,23669269018.51,1703415000.0
2017-07-31,16634000000,1114000000.0,0.0669712636768065,43.92787170410156,551708032.0,24235359647.82,1746570000.0
2017-10-31,16667000000,869000000.0,0.0521389572208555,46.28059005737305,526112992.0,24348819706.61,1750035000.0
2018-02-28,22766000000,1129000000.0,0.0495914960906615,60.21907424926758,,,2390430000.0
2018-05-31,16781000000,1041000000.0,0.0620344437161075,58.70600509643555,,,1762005000.0
2018-08-31,17776000000,1133000000.0,0.0637376237623762,71.02691650390625,,,1866480000.0
