period_end,Revenue,OperatingIncome,Operating_Margin,price_at_period_end,shares_outstanding,market_cap,KBrand
2014-05-31,6491176000,803563000.0,0.1237931308594929,23.18427085876465,,,681573480.0
2014-08-31,6917212000,930887000.0,0.1345754619057504,25.46316337585449,,,726307260.0
2014-11-30,7366066000,1049644000.0,0.1424972298646251,28.33856773376465,,,773436930.0
2015-01-31,8303953000,,,28.244340896606445,,,871915065.0
2015-05-31,6865637000,845129000.0,0.1230954971840194,27.73494529724121,,,720891885.0
2015-08-31,7363731000,998236000.0,0.1355611713681556,30.38485336303711,,,773191755.0
2015-10-31,7753495000,1041335000.0,0.1343052391211963,31.62494659423828,,,814116975.0
2016-01-31,8962075000,,,30.871273040771484,669529000.0,20669212567.71,941017875.0
2016-04-30,7542356000,918886000.0,0.1218301018938909,32.95772171020508,662591000.0,21837489785.69,791947380.0
2016-07-31,7882053000,1035194000.0,0.1313355797023948,35.641502380371094,661084000.0,23562026959.63,827615565.0
2016-10-31,8291688000,1083143000.0,0.1306299754645857,32.26829147338867,651901000.0,21035731479.79,870627240.0
2017-01-31,9467647000,,,32.89684295654297,651901000.0,21445484820.21,994102935.0
2017-04-30,7784024000,948997000.0,0.1219159910092774,34.64986038208008,644553024.0,22333672290.45,817322520.0
2017-07-31,8357700000,1010422000.0,0.1208971367720784,31.10356712341309,643276032.0,20008179240.19,877558500.0
2017-10-31,8762220000,1123465000.0,0.1282169358906761,31.01530647277832,625203008.0,19390862900.82,920033100.0
2018-02-28,10960720000,,,37.0611457824707,,,1150875600.0
2018-05-31,8688720000,1063826000.0,0.1224375972525297,40.671085357666016,,,912315600.0
