period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin,price_at_period_end,shares_outstanding,market_cap,KBrand
2011-10-31,57113000,6900000,10310000,0.1208131248577381,,,,11137035.0
2012-01-31,56683000,1276000,10248000,0.0225111585484183,,,,11053185.0
2012-04-30,65700000,-41000,11524000,-0.0006240487062404,,,,12811500.0
2012-07-31,75642000,-4244000,12533000,-0.0561063959176119,,,,14750190.0
2012-10-31,85934000,-3131000,14416000,-0.0364349384411292,48.5,,,16757130.0
2013-01-31,96499000,-2157000,16636000,-0.0223525632389972,53.41999816894531,,,18817305.0
2013-04-30,101289000,-6450000,15855000,-0.0636791754287237,62.650001525878906,,,19751355.0
2013-07-31,112385000,-6883000,16505000,-0.0612448280464474,68.29000091552734,,,21915075.0
2013-10-31,128180000,-7011000,17954000,-0.0546965205180215,74.87000274658203,,,24995100.0
2014-01-31,141068000,-37156000,20221000,-0.2633907051918224,89.54000091552734,,,27508260.0
2014-04-30,150700000,-145732000,20425000,-0.9670338420703384,73.06999969482422,,,29386500.0
2014-07-31,178231000,-25448000,26903000,-0.1427809976940038,83.83999633789062,,,34755045.0
2014-10-31,192346000,-23763000,29141000,-0.1235429902363449,95.4800033569336,,,37507470.0
2015-01-31,217700000,-38500000,30700000,-0.1768488745980707,79.45999908447266,,,42451500.0
2015-04-30,234200000,-36700000,32851000,-0.1567036720751494,91.20999908447266,,,45669000.0
2015-07-31,283900000,-34500000,38500000,-0.1215216625572384,84.33000183105469,,,55360500.0
2015-10-31,297200000,-30800000,38800000,-0.1036339165545087,78.97000122070312,,,57954000.0
2016-01-31,334700000,-50100000,44900000,-0.1496862862264714,63.0099983215332,192000000.0,12097919677.73,65266500.0
2016-04-30,345800000,-52500000,43200000,-0.1518218623481781,74.9800033569336,197057000.0,14775334521.51,67431000.0
2016-07-31,400800000,-22700000,48500000,-0.0566367265469061,83.33999633789062,196877000.0,16407728459.01,78156000.0
2016-10-31,398100000,-49000000,42200000,-0.1230846520974629,86.68000030517578,199000000.0,17249320060.73,77629500.0
2017-01-31,422600000,-54400000,45800000,-0.1287269285376242,83.08999633789062,201000000.0,16701089263.92,82407000.0
2017-04-30,431800000,-49100000,49700000,-0.1137100509495136,87.4000015258789,205842000.0,17990591114.09,84201000.0
2017-07-31,509100000,-27300000,63700000,-0.0536240424278137,102.11000061035156,206104000.0,21045279565.8,99274500.0
2017-10-31,505500000,-53500000,57600000,-0.105835806132542,110.98999786376952,217930000.0,24188050234.45,98572500.0
2018-01-31,542400000,-22500000,63900000,-0.0414823008849557,119.88999938964844,,,105768000.0
2018-04-30,567100000,-45300000,68900000,-0.0798800916945864,124.83999633789062,,,110584500.0
2018-07-31,658100000,17100000,82000000,0.025983893025376,124.0199966430664,,,128329500.0
