period_end,Revenue,OperatingIncome,Operating_Margin
2017-03-31,6047000000,,
2017-06-30,6224000000,,
2017-09-30,6172000000,,
2018-03-31,6581000000,,
2018-06-30,6674000000,,
2018-09-30,6654000000,,
2019-03-31,6697000000,,
2019-06-30,7080000000,,
2019-09-30,7051000000,,
2020-03-31,6296000000,,
2020-06-30,4357000000,,
2020-09-30,5380000000,,
2021-03-31,5654000000,,
2021-06-30,6762000000,,
2021-09-30,7139000000,,
2022-03-31,7640000000,,
2022-06-30,8771000000,,
2022-09-30,8733000000,,
2023-03-31,8846000000,,
2023-06-30,9433000000,,
2023-09-30,9377000000,,
2024-03-31,9339000000,,
2024-06-30,9818000000,,
2024-09-30,9716000000,,
2025-03-31,9626000000,,
2025-06-30,10321000000,,
2025-09-30,10415000000,,
