period_end,Revenue,OperatingIncome,Operating_Margin
2017-05-31,2742141000,337103000,0.12293423277650566
2017-08-31,2936357000,168847000,0.057502204261947715
2017-11-30,2954539000,168847000,0.05714834023175866
2018-03-31,3716264000,337103000,0.09071018635920376
2018-06-30,2753667000,81229000,0.029498483295184202
2018-09-30,2935018000,78858000,0.02686797832244981
2018-12-31,3032231000,49513000,0.016328901063276512
2019-03-31,3307881000,-296735000,-0.08970546401155302
2019-06-30,2572989000,-406842000,-0.1581203806156964
2019-08-31,2719447000,-182258000,-0.0670202434539081
2019-11-30,2759322000,-29758000,-0.010784533302021294
2020-02-29,3106822000,-81206000,-0.02613796348809169
2020-05-31,1307447000,-460929000,-0.3525412502380594
2020-08-31,2687968000,270543000,0.10064963570994893
2020-11-30,2618472000,-122849000,-0.046916293166396277
2021-05-31,1953812000,-71872000,-0.036785524912325236
2021-08-31,1984696000,-84114000,-0.04238130172076731
2021-11-30,1877874000,-86111000,-0.04585557923481554
2022-05-31,1463418000,-339158000,-0.23175743362456933
2022-08-31,1437018000,-346202000,-0.24091695441532396
2022-11-30,1259112000,-450933000,-0.35813573375521796
