period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin
2009-07-31,209929000,-53778000,9752000.0,-0.2561723249289045
2009-10-31,216122000,-10141000,6405000.0,-0.046922571510535714
2010-04-30,221938000,-5320000,5292000.0,-0.023970658472185925
2010-07-31,227064000,5219000,7123000.0,0.022984709156889688
2010-10-31,237934000,-3083000,10757000.0,-0.01295737473416998
2011-04-30,266102000,17544000,14194000.0,0.06592960594057917
2011-07-31,283270000,24957000,20074000.0,0.08810322307339287
2011-10-31,292457000,32177000,18185000.0,0.11002301192995893
2012-03-31,315830000,45350000,15401000.0,0.1435899059620682
2012-06-30,326476000,50620000,21585000.0,0.15504968205932443
2012-09-30,338533000,59441000,23337000.0,0.1755840641828123
2013-03-31,354266000,58136000,,0.16410267990718838
2013-06-30,362481000,45142000,,0.12453618258612176
2013-09-30,366647000,47930000,,0.13072519344219372
2014-03-31,378550000,42312000,,0.11177387399286752
2014-06-30,378788000,35497000,,0.093712050012144
2014-09-30,400496000,54049000,,0.13495515560704727
2015-04-30,411366000,49285000,,0.11980815137857771
2015-07-31,415883000,76404000,,0.18371513141917317
2015-10-31,433763000,77901000,,0.17959346463391299
2016-04-30,447862000,58036000,,0.12958455952949793
2016-07-31,453021000,66906000,,0.14768851775083275
2016-10-31,446220000,66842000,,0.14979606472143786
2017-04-30,476911000,79602000,,0.16691164598845487
2017-07-31,479001000,82690000,,0.17263011977010487
2017-09-30,485398000,80385000,,0.16560636838223478
2018-03-31,517313000,85833000,,0.16592082549636294
2018-06-30,518391000,93056000,,0.17950928932022353
