period_end,Revenue,OperatingIncome,Operating_Margin
2020-03-31,190630000,38775000,0.20340450086555106
2020-06-30,186382000,42086000,0.22580506701290898
2020-09-30,315357000,101505000,0.3218733054918711
2021-03-31,1801112000,987713000,0.5483906608806115
2021-06-30,2227962000,874725000,0.3926121720208873
2021-09-30,1311908000,291808000,0.2224302313881766
2022-03-31,1166436000,-554463000,-0.47534798308694176
2022-06-30,808325000,-1044389000,-1.0
2022-09-30,590339000,-556484000,-0.9426515951004423
2023-03-31,772529000,-123875000,-0.16034996744458785
2023-06-30,707911000,-73575000,-0.10393255649368353
2023-09-30,674148000,-79825000,-0.1184087173736331
2024-03-31,1637570000,760461000,0.46438381260037737
2024-06-30,1449628000,343117000,0.23669313782570425
2024-09-30,1205193000,169513000,0.14065216110614648
2025-03-31,2034295000,705806000,0.34695361292241295
2025-06-30,1497208000,-24650000,-0.016463978284914322
2025-09-30,1868693000,480532000,0.2571487130309794
