period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin
2008-11-30,16036000000,422000000,14276000000,0.02631578947368421
2009-02-28,16488000000,398000000,14771000000,0.02413876758854925
2009-05-31,15477000000,359000000,13776000000,0.023195709762873943
2009-11-30,16922000000,428000000,15081000000,0.025292518614820944
2010-02-28,18356000000,470000000,16396000000,0.025604706907823054
2010-05-31,17385000000,491000000,15494000000,0.02824273799252229
2010-11-30,18823000000,525000000,16757000000,0.027891409445890667
2011-02-28,20449000000,596000000,18235000000,0.029145679495329844
2011-05-31,20188000000,556000000,18067000000,0.027541113532791758
2011-11-30,21181000000,543000000,18931000000,0.0256361833718899
2012-02-29,22508000000,644000000,20139000000,0.028612049049226942
2012-05-31,21849000000,623000000,19543000000,0.028513890795917433
2012-11-30,23204000000,639000000,20726000000,0.02753835545595587
2013-02-28,24343000000,738000000,21766000000,0.03031672349340673
2013-05-31,23552000000,722000000,21038000000,0.030655570652173912
2013-11-30,24468000000,668000000,21824000000,0.027300964525094
2014-02-28,25756000000,724000000,23043000000,0.028109954961950612
2014-05-31,25233000000,737000000,22554000000,0.029207783458169857
2014-11-30,26284000000,770000000,23385000000,0.029295388829706285
2015-02-28,26872000000,877000000,23897000000,0.032636201250372136
2015-05-31,25517000000,821000000,22687000000,0.03217462867891994
2015-11-30,26627000000,767000000,23621000000,0.028805347955083185
2016-02-29,27567000000,856000000,24469000000,0.03105161969020931
2016-05-31,26151000000,858000000,23162000000,0.03280945279339222
2016-11-30,27469000000,849000000,24288000000,0.030907568531799483
2017-02-28,29130000000,844000000,25927000000,0.028973566769653278
2017-05-31,28216000000,968000000,24970000000,0.034306776297136375
2017-11-30,31117000000,951000000,27617000000,0.03056207217919465
2018-02-28,32279000000,1016000000,28733000000,0.03147557235354255
2018-05-31,31624000000,1067000000,28131000000,0.03374019731849229
