period_end,Revenue,OperatingIncome,Operating_Margin
2020-03-31,362000000,-123000000,-0.3397790055248619
2020-06-30,675000000,27000000,0.04
2020-09-30,879000000,-35000000,-0.03981797497155859
2021-03-31,1077000000,-99000000,-0.09192200557103064
2021-06-30,1236000000,-99000000,-0.08009708737864078
2021-09-30,1275000000,-100000000,-0.0784313725490196
2022-03-31,1456000000,-173000000,-0.11881868131868131
2022-06-30,1608000000,-273000000,-0.16977611940298507
2022-09-30,1701000000,-308000000,-0.18106995884773663
2023-03-31,2035000000,-171000000,-0.08402948402948403
2023-06-30,2133000000,-211000000,-0.09892170651664323
2023-09-30,2164000000,-108000000,-0.04990757855822551
2024-03-31,2513000000,-61000000,-0.024273776362912853
2024-06-30,2630000000,-201000000,-0.07642585551330798
2024-09-30,2706000000,107000000,0.03954175905395418
2025-03-31,3032000000,155000000,0.05112137203166227
2025-06-30,3284000000,163000000,0.04963459196102314
2025-09-30,3446000000,258000000,0.07486941381311665
