period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin
2017-05-31,5609625000,473795000,3910642000.0,0.08446108251442833
2017-08-31,5828305000,493146000,4037783000.0,0.08461225004525329
2017-11-30,5903606000,417431000,4137150000.0,0.07070780129974799
2018-02-28,6129431000,623446000,,0.10171351957465546
2018-05-31,6114463000,490184000,,0.08016795587772793
2018-08-31,6443309000,545476000,,0.08465774340482507
2018-11-30,6417462000,442143000,,0.0688968629654527
2019-02-28,6649809000,638503000,,0.09601824653911112
2019-05-31,6623185000,512237000,,0.07733998068904915
2019-08-31,6981753000,577775000,,0.0827550043663819
2019-11-30,6991393000,491417000,,0.07028885373773153
2020-01-31,7157642000,720875000,,0.10071403403523116
2020-05-31,8448449000,866784000,,0.10259681984231662
2020-07-31,8684241000,1042627000,,0.12005965748762615
2020-10-31,8199625000,773130000,,0.0942884583136424
2021-01-31,8414524000,872224000,,0.10365696265171981
2021-04-30,8400964000,908850000,,0.10818401316801263
2021-07-31,8650198000,849568000,,0.09821370562847231
2021-10-31,8517839000,665588000,,0.07814047671011391
2022-04-30,8751352000,746157000,,0.08526191153092688
2022-07-31,9425713000,913426000,,0.09690789439483252
2022-10-31,9464891000,735545000,,0.07771299215173212
2023-05-31,9342832000,740858000,,0.07929694122724244
2023-08-31,9796181000,692314000,,0.0706718260922292
2023-11-30,9694082000,433474000,,0.04471532219347846
2024-05-31,9914021000,546104000,,0.05508400678191019
2024-08-31,10210361000,549962000,,0.05386312981490077
2024-11-30,10183428000,323802000,,0.03179695481717944
2025-05-31,10435979000,576113000,,0.055204499740752644
2025-08-31,10727737000,595428000,,0.05550359782310099
2025-10-31,10649450000,425851000,,0.039988074501500076
