period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin
2017-04-30,5287100000,388800000.0,3660000000.0,0.07353747801252104
2017-07-31,5281200000,419500000.0,3653400000.0,0.07943270468832841
2017-10-31,5316600000,425200000.0,3650600000.0,0.07997592446300267
2018-02-28,6360600000,765600000.0,,0.1203660032072446
2018-05-31,5553700000,437600000.0,3854100000.0,0.07879431730197886
2018-08-31,5525600000,382500000.0,3861700000.0,0.06922325177356305
2018-11-30,5538800000,387800000.0,,0.07001516573987145
2019-02-28,6205200000,-2147400000.0,,-0.34606459098820347
2019-05-31,5808700000,385500000.0,,0.06636596828894589
2019-08-31,5740600000,268900000.0,,0.04684179354074487
2019-11-30,5746200000,358400000.0,,0.06237165431067488
2020-02-29,6315300000,249400000.0,,0.039491393916361854
2020-05-31,6286800000,365900000.0,,0.058201310682700264
2020-08-31,6277600000,374900000.0,,0.059720275264432264
2020-10-31,6177000000,465500000.0,,0.0753602072203335
2021-01-31,6767900000,681600000.0,,0.10071070790053044
2021-05-31,6476800000,519900000.0,,0.08027112154150198
2021-07-31,6340200000,402200000.0,,0.06343648465348097
2021-10-31,6415400000,310500000.0,,0.04839916451039686
2022-04-30,6900100000,731500000.0,,0.10601295633396618
2022-07-31,6765300000,505400000.0,,0.07470474332254298
2022-10-31,6936600000,381300000.0,,0.054969293313727186
2023-04-30,7319500000,419700000.0,,0.05733998223922399
2023-07-31,7320100000,287800000.0,,0.03931640278138277
2023-10-31,7309100000,301700000.0,,0.0412773118441395
2024-02-29,4961400000,,,
2024-05-31,7626400000,420600000.0,,0.05515052973880206
2024-08-31,7372700000,215800000.0,,0.029270145265642165
2024-11-30,7561700000,333400000.0,,0.04409061454434849
2025-02-28,4996700000,,,
2025-05-31,4636500000,384100000.0,,0.08284266149034833
2025-08-31,4566800000,231000000.0,,0.050582464745554875
2025-11-30,4746300000,343300000.0,,0.07233002549354234
