period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin
2014-03-31,40536000,419000,,0.01033649102032761
2014-06-30,42509000,-3794000,,-0.08925168787786115
2014-09-30,47634000,-3052000,,-0.06407188142923122
2015-03-31,58543000,-4842000,,-0.08270843653382984
2015-06-30,61365000,-3791000,,-0.061777886417338876
2015-09-30,65696000,-1667000,,-0.02537445202143205
2016-03-31,81847000,6783000,,0.08287414321844418
2016-06-30,85349000,4669000,,0.054704800290571655
2016-09-30,87562000,2673000,,0.030526940910440604
2017-03-31,96891000,-2101000,,-0.021684160551547614
2017-06-30,101692000,-11718000,,-0.1152303032686937
2017-09-30,106380000,7425000,,0.06979695431472081
2018-03-31,120912000,13798000,41295000.0,0.11411605134312558
