period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin
2008-10-31,481000000,-75000000,33000000.0,-0.15592515592515593
2009-01-31,773000000,111000000,56000000.0,0.14359637774902975
2009-04-30,1417000000,765000000,34000000.0,0.5398729710656316
2009-07-31,457000000,-118000000,,-0.25820568927789933
2009-10-31,515000000,-94000000,35000000.0,-0.1825242718446602
2010-01-31,857000000,139000000,48000000.0,0.16219369894982497
2010-04-30,1827000000,1067000000,34000000.0,0.5840175150519978
2010-07-31,537000000,-64000000,,-0.1191806331471136
2010-10-31,575000000,-80000000,32000000.0,-0.1391304347826087
2011-01-31,999000000,195000000,46000000.0,0.19519519519519518
2011-04-30,1926000000,1111000000,32000000.0,0.5768431983385255
2011-07-31,593000000,-58000000,,-0.09780775716694773
2011-10-31,594000000,-73000000,32000000.0,-0.12289562289562289
2012-01-31,1019000000,195000000,52000000.0,0.19136408243375858
2012-04-30,2091000000,1282000000,32000000.0,0.6131037780966045
2012-07-31,651000000,-45000000,,-0.06912442396313365
2012-10-31,647000000,-69000000,32000000.0,-0.10664605873261206
2013-01-31,968000000,93000000,40000000.0,0.09607438016528926
2013-04-30,2178000000,1282000000,30000000.0,0.588613406795225
2013-07-31,634000000,-60000000,,-0.0946372239747634
2013-10-31,622000000,-77000000,29000000.0,-0.12379421221864952
2014-01-31,782000000,-46000000,45000000.0,-0.058823529411764705
2014-04-30,2388000000,1494000000,34000000.0,0.6256281407035176
2014-07-31,714000000,-55000000,,-0.07703081232492998
2014-10-31,672000000,-109000000,34000000.0,-0.16220238095238096
2015-01-31,808000000,-89000000,44000000.0,-0.11014851485148515
2015-04-30,2194000000,1066000000,35000000.0,0.48587055606198726
2015-07-31,696000000,-130000000,,-0.1867816091954023
2015-10-31,713000000,-29000000,29000000.0,-0.04067321178120617
2016-01-31,923000000,42000000,40000000.0,0.04550379198266522
2016-04-30,2304000000,1285000000,30000000.0,0.5577256944444444
2016-07-31,754000000,-56000000,,-0.07427055702917772
2016-10-31,778000000,-61000000,29000000.0,-0.07840616966580977
2017-01-31,1016000000,22000000,37000000.0,0.021653543307086614
2017-04-30,2541000000,1444000000,29000000.0,0.568280204643841
2017-07-31,842000000,-10000000,,-0.011876484560570071
2017-10-31,886000000,-35000000,24000000.0,-0.039503386004514675
2018-01-31,1165000000,194000000,36000000.0,0.16652360515021458
2018-04-30,2925000000,1615000000,27000000.0,0.5521367521367522
