period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin
2008-06-30,26820000000,2765000000.0,15221000000,0.10309470544369873
2008-09-30,25302000000,2824000000.0,14342000000,0.11161173029800016
2009-03-31,21711000000,2295000000.0,12280000000,0.10570678457924554
2009-06-30,23250000000,3103000000.0,12669000000,0.13346236559139785
2009-09-30,23566000000,3214000000.0,12938000000,0.13638292455232115
2010-03-31,22857000000,2601000000.0,12880000000,0.1137944612153826
2010-06-30,23724000000,3386000000.0,12915000000,0.14272466700387793
2010-09-30,24271000000,3589000000.0,13270000000,0.14787194594371883
2011-03-31,24607000000,2863000000.0,13749000000,0.11634900638029828
2011-06-30,26666000000,3664000000.0,14282000000,0.13740343508587716
2011-09-30,26157000000,3839000000.0,13984000000,0.1467675956722866
2012-03-31,24673000000,3066000000.0,13555000000,0.12426539131844526
2012-06-30,25783000000,3881000000.0,13502000000,0.15052554008455182
2012-09-30,24747000000,3824000000.0,13016000000,0.15452378066028205
2013-03-31,23408000000,3032000000.0,12730000000,0.12952836637047163
2013-06-30,24924000000,3226000000.0,12792000000,0.12943347777242817
2013-09-30,23720000000,4041000000.0,12341000000,0.17036256323777402
2014-03-31,22484000000,2384000000.0,11941000000,0.10603095534602384
2014-06-30,24364000000,4137000000.0,12389000000,0.16979970448202267
2014-09-30,22397000000,18000000.0,11523000000,0.0008036790641603786
2015-03-31,19590000000,2328000000.0,10138000000,0.11883614088820826
2015-06-30,20813000000,3449000000.0,10423000000,0.16571373660692837
2015-09-30,19280000000,2950000000.0,9844000000,0.15300829875518673
2016-03-31,18684000000,2014000000.0,9999000000,0.10779276386212802
2016-06-30,20238000000,2504000000.0,10536000000,0.1237276410712521
2016-09-30,19226000000,2853000000.0,10213000000,0.14839280141475086
2017-03-31,18155000000,1750000000.0,10383000000,0.09639217846323327
2017-06-30,19289000000,,10495000000,
2017-09-30,19153000000,,10353000000,
2018-03-31,19072000000,1679000000.0,10825000000,0.08803481543624161
2018-06-30,20003000000,2404000000.0,10804000000,0.12018197270409439
2018-09-30,18756000000,2694000000.0,9953000000,0.1436340371081254
2019-03-31,18182000000,1591000000.0,10139000000,0.08750412495875041
2019-06-30,19161000000,2498000000.0,10151000000,0.13036897865455874
2019-09-30,18028000000,1672000000.0,9692000000,0.09274461948080763
2020-03-31,17571000000,1175000000.0,9649000000,0.06687154971259461
2020-06-30,18123000000,1361000000.0,9423000000,0.07509794184185842
2020-09-30,17560000000,1698000000.0,9130000000,0.09669703872437357
2021-03-31,17730000000,955000000.0,9525000000,0.05386350817822899
2021-06-30,18745000000,1325000000.0,9741000000,0.0706855161376367
2021-09-30,17618000000,1130000000.0,9447000000,0.06413894880236122
2022-03-31,14197000000,733000000.0,6862000000,0.0516306261886314
2022-06-30,15535000000,1392000000.0,7246000000,0.08960411972964274
2022-09-30,14107000000,-3196000000.0,6677000000,-0.2265541929538527
2023-03-31,14252000000,927000000.0,6743000000,0.06504350266629245
2023-06-30,15475000000,,6974000000,
2023-09-30,14752000000,,6729000000,
2024-03-31,14462000000,,6719000000,
2024-06-30,15770000000,,6820000000,
2024-09-30,14968000000,,6548000000,
2025-03-31,14541000000,,6510000000,
2025-06-30,16977000000,,7001000000,
2025-09-30,16331000000,,6970000000,
