period_end,Revenue,OperatingIncome,CostOfRevenue,Operating_Margin
2009-09-30,12920000000,4482000000.0,2842000000.0,0.34690402476780186
2009-12-31,19022000000,8513000000.0,3628000000.0,0.4475344338134791
2010-03-31,14503000000,5173000000.0,2755000000.0,0.3566848238295525
2010-06-30,16039000000,,,
2010-09-30,16195000000,7116000000.0,3139000000.0,0.43939487496140783
2010-12-31,19953000000,8165000000.0,4833000000.0,0.4092116473713226
2011-03-31,16428000000,5709000000.0,3897000000.0,0.3475164353542732
2011-06-30,17367000000,,,
2011-09-30,17372000000,7203000000.0,3777000000.0,0.4146327423440018
2011-12-31,20885000000,7994000000.0,5638000000.0,0.38276274838400764
2012-03-31,17407000000,6374000000.0,3952000000.0,0.36617452748894125
2012-06-30,18059000000,,,
2012-09-30,16008000000,5308000000.0,4168000000.0,0.331584207896052
2012-12-31,21456000000,7771000000.0,5692000000.0,0.36218307233407904
2013-03-31,20489000000,7612000000.0,4787000000.0,0.37151642344672753
2013-06-30,19896000000,,,
2013-09-30,18529000000,6334000000.0,5145000000.0,0.3418425171353014
2013-12-31,24519000000,7969000000.0,8322000000.0,0.32501325502671397
2014-03-31,20403000000,6974000000.0,5978000000.0,0.3418124785570749
2014-06-30,23382000000,6482000000.0,,0.2772217945428107
2014-09-30,23201000000,5844000000.0,8273000000.0,0.25188569458213006
2014-12-31,26470000000,7776000000.0,10136000000.0,0.29376652814506987
2015-03-31,21729000000,6594000000.0,7161000000.0,0.3034654148833356
2015-06-30,22180000000,-2053000000.0,,-0.09256086564472497
2015-09-30,20379000000,5793000000.0,7207000000.0,0.28426321213013395
2015-12-31,23796000000,6026000000.0,9872000000.0,0.253235837955959
2016-03-31,20531000000,5283000000.0,7722000000.0,0.2573182017437046
2016-06-30,20614000000,3080000000.0,,0.14941302027748132
2016-09-30,21928000000,6715000000.0,7844000000.0,0.30622947829259395
2016-12-31,25826000000,7905000000.0,9901000000.0,0.30608688918144505
2017-03-31,23212000000,6723000000.0,8060000000.0,0.28963467172152335
2017-06-30,23317000000,7682000000.0,,0.32945919286357594
2017-09-30,24538000000,7708000000.0,8278000000.0,0.3141250305648382
2017-12-31,28918000000,8679000000.0,11064000000.0,0.3001244899370634
2018-03-31,26819000000,8292000000.0,9269000000.0,0.30918378761325926
